N	2gram	Potebnia_M_4	Mirosoze
1	и в	23	46
2	в нем	7	22
3	у него	1	22
4	может быть	26	21
5	в этом	23	20
6	не только	10	18
7	и не	18	18
8	никогда не	3	18
9	для него	5	18
10	есть лишь	2	17
11	но и	11	15
12	не может	11	15
13	человека в	2	14
14	как и	14	13
15	ведет к	3	13
16	а не	12	13
17	не есть	9	13
18	друг друга	2	12
19	к человеку	1	12
20	прежде всего	1	12
21	потому что	33	12
22	не было	12	11
23	но он	1	11
24	в ней	2	11
25	у нас	2	11
26	но в	8	10
27	та же	1	10
28	в себе	14	10
29	он не	2	10
30	не в	11	9
31	не знает	1	9
32	и есть	3	8
33	отношение к	2	8
34	в своем	8	8
35	так как	14	8
36	она не	2	8
37	как бы	5	8
38	но это	3	8
39	человека и	3	7
40	связана с	1	7
41	человеческой природы	2	7
42	в мире	2	7
43	как в	7	7
44	и к	6	7
45	в нашем	2	7
46	в этой	1	7
47	человек не	2	7
48	любви к	1	7
49	хотя бы	4	7
50	и потому	10	7
51	и для	2	7
52	что он	4	7
53	вопрос о	2	6
54	что это	7	6
55	не могу	2	6
56	он сам	1	6
57	и здесь	2	6
58	доходит до	1	6
59	так же	4	6
60	того что	14	6
61	жизни и	1	6
62	то же	14	5
63	есть не	4	5
64	я не	2	5
65	друг к	1	5
66	в самом	3	5
67	бы и	5	5
68	что она	2	5
69	что все	4	5
70	к другу	1	5
71	бога и	1	5
72	в своей	1	5
73	в отношении	1	5
74	во всем	1	5
75	и его	2	5
76	к тому	3	5
77	и это	2	5
78	те же	3	5
79	это не	7	5
80	один из	2	5
81	человеческого духа	6	5
82	в его	5	5
83	для того	6	5
84	то что	29	5
85	образ и	1	5
86	и все	4	5
87	мысль что	3	4
88	у них	1	4
89	его на	1	4
90	на деле	2	4
91	думать что	4	4
92	нет в	1	4
93	том что	12	4
94	тому что	2	4
95	не имеет	5	4
96	свободы и	1	4
97	того чтобы	4	4
98	перед ним	1	4
99	должны быть	3	4
100	они и	1	4
101	что у	3	4
102	так и	6	4
103	уже не	3	4
104	что и	7	4
105	в свою	2	4
106	есть уже	4	4
107	что в	17	4
108	все что	2	4
109	к другому	1	3
110	той же	3	3
111	и на	3	3
112	иное как	2	3
113	в чем	1	3
114	не доходит	1	3
115	человеку и	1	3
116	что нет	1	3
117	духа и	2	3
118	он в	1	3
119	в каждом	3	3
120	не будет	3	3
121	и с	4	3
122	на все	1	3
123	его в	4	3
124	в них	3	3
125	все равно	3	3
126	всю жизнь	1	3
127	одна и	2	3
128	и тогда	1	3
129	не мог	1	3
130	в такой	1	3
131	и против	1	3
132	того как	6	3
133	что иное	2	3
134	только с	1	3
135	к ближнему	1	3
136	не существует	2	3
137	в образе	2	3
138	было в	3	3
139	если бы	13	3
140	с ним	5	3
141	о том	8	3
142	не стоит	1	3
143	и во	1	3
144	и можно	1	3
145	в том	23	3
146	только в	15	3
147	есть в	5	3
148	не так	2	3
149	и никогда	1	3
150	тем что	10	3
151	от того	4	3
152	с другим	1	3
153	до сих	4	3
154	к которому	1	3
155	с которым	2	3
156	для человека	4	3
157	в строении	1	3
158	нет ничего	3	3
159	тех которые	2	3
160	и нет	1	3
161	связано со	1	3
162	сих пор	4	3
163	лишь как	1	3
164	отношении к	1	3
165	сказать что	8	3
166	не что	2	3
167	есть и	2	3
168	в своих	2	3
169	сам по	4	2
170	который должен	1	2
171	когда человек	4	2
172	лишь одна	1	2
173	и за	1	2
174	его не	1	2
175	в сфере	1	2
176	а для	1	2
177	из глубины	1	2
178	же что	2	2
179	не от	3	2
180	не был	1	2
181	во всех	1	2
182	землю и	1	2
183	то он	2	2
184	по отношению	10	2
185	она есть	1	2
186	более чем	3	2
187	в мысли	3	2
188	хотя и	5	2
189	в действительности	3	2
190	увидим что	1	2
191	то в	3	2
192	духа в	1	2
193	в которой	6	2
194	если человек	1	2
195	бы не	3	2
196	и тот	3	2
197	и те	1	2
198	если он	1	2
199	но на	1	2
200	дальше и	1	2
201	этот процесс	1	2
202	и если	3	2
203	на его	3	2
204	одной и	1	2
205	на этом	1	2
206	образа и	3	2
207	еще более	2	2
208	лишь в	3	2
209	человека только	1	2
210	стоит на	1	2
211	если я	1	2
212	не всегда	3	2
213	чем в	2	2
214	должно быть	5	2
215	не будут	1	2
216	в этих	3	2
217	точки зрения	4	2
218	ее в	1	2
219	от его	2	2
220	и той	1	2
221	но эта	2	2
222	которые в	1	2
223	есть еще	1	2
224	что есть	3	2
225	а от	1	2
226	стоит в	1	2
227	эта мысль	2	2
228	подчинить ее	1	2
229	тогда когда	8	2
230	идеи не	1	2
231	человека если	1	2
232	ничего не	1	2
233	внутрь себя	1	2
234	природы в	1	2
235	к ней	2	2
236	связи с	3	2
237	как будто	1	2
238	всегда есть	1	2
239	оно не	2	2
240	быть назван	3	2
241	самим собою	1	2
242	мысль о	6	2
243	можно было	2	2
244	есть также	1	2
245	в которые	1	2
246	быть может	4	2
247	после того	2	2
248	по себе	11	2
249	в разных	3	2
250	и поэтому	1	2
251	и та	4	2
252	смотрели бы	1	2
253	и что	7	2
254	в сущности	2	2
255	потому только	1	2
256	нас в	2	2
257	к нему	5	2
258	другого в	1	2
259	подобно тому	2	2
260	но с	1	2
261	мы видим	2	2
262	тот же	2	2
263	между тем	9	2
264	людям а	1	2
265	так что	5	2
266	со своим	4	2
267	уже в	5	2
268	и других	3	2
269	человека на	1	2
270	себе в	3	2
271	и мир	1	2
272	есть выражение	1	2
273	лишь один	2	2
274	были бы	1	2
275	как у	1	2
276	что человек	3	2
277	что не	6	2
278	превращается в	2	2
279	так это	1	2
280	человеческой жизни	1	2
281	было для	1	2
282	такой степени	6	2
283	вместе с	6	2
284	человек должен	1	2
285	в человеке	1	2
286	к своему	1	2
287	другу и	1	2
288	тому как	2	2
289	это есть	3	2
290	что же	5	2
291	да и	4	2
292	из этой	1	2
293	сам не	1	2
294	ничего кроме	1	2
295	но для	1	2
296	в более	2	2
297	сознания и	1	2
298	его с	1	2
299	человек и	1	2
300	ее и	1	2
301	но когда	1	2
302	и самое	1	2
303	бы в	2	2
304	быть и	2	2
305	а в	5	2
306	к самому	1	2
307	отношению к	8	2
308	и эта	1	2
309	всем и	1	1
310	пор не	3	1
311	стоит к	1	1
312	обращается в	1	1
313	говорят о	1	1
314	и то	5	1
315	самом деле	3	1
316	он может	1	1
317	только потому	4	1
