N	2gram	Losev_Dial_2	ViktorSh
1	конце концов	1	2
2	и в	19	2
3	том что	10	2
4	в том	14	2
5	в конце	2	2
6	и только	4	1
7	крайней мере	9	1
8	тем более	1	1
9	и почти	3	1
10	все дело	1	1
11	сказать чтобы	1	1
12	в другом	4	1
13	хотя бы	4	1
14	и не	30	1
15	все время	3	1
16	и его	5	1
17	потому что	14	1
18	я не	6	1
19	даже не	1	1
20	один пример	1	1
21	и то	7	1
22	хочу сказать	1	1
23	теснейшим образом	1	1
24	самом деле	4	1
25	все это	4	1
26	именно в	2	1
27	главным образом	1	1
28	в их	2	1
29	как же	3	1
30	собственно и	1	1
31	но разве	2	1
32	в частности	2	1
33	одно и	4	1
34	все то	1	1
35	время в	1	1
36	же все	1	1
37	ведь это	3	1
38	говоря о	1	1
39	в самом	5	1
40	что имеется	2	1
41	только в	5	1
42	то же	12	1
43	ясно что	4	1
44	так как	14	1
45	далеко не	1	1
46	бы уже	1	1
47	к чему	1	1
48	не будем	1	1
49	образы которые	2	1
50	но это	7	1
51	в этом	8	1
52	да и	6	1
53	имеется в	2	1
54	чем больше	1	1
55	по крайней	9	1
56	а только	3	1
57	на одном	1	1
58	по существу	1	1
59	не хотел	1	1
60	гораздо более	1	1
