N	2gram	Medvedev_B_1	VerxiiNi
1	и в	1	26
2	таким образом	1	22
3	не только	1	10
4	в области	1	9
5	что в	1	9
6	с другой	1	8
7	и не	2	8
8	в эпоху	1	7
9	все же	1	6
10	всяком случае	1	6
11	так и	1	6
12	и потому	1	6
13	все это	2	6
14	во всяком	1	6
15	по крайней	1	5
16	крайней мере	1	5
17	а не	1	5
18	одной из	1	5
19	что все	1	4
20	далеко не	1	4
21	не вполне	1	3
22	и нет	1	3
23	и о	1	3
24	в значительной	1	3
25	его не	1	2
26	еще не	1	2
27	и на	1	2
28	больше чем	2	2
29	прежде всего	1	2
30	не было	1	2
31	в ней	2	1
32	и более	1	1
33	не следует	1	1
34	говорить не	1	1
35	было бы	1	1
36	в своей	1	1
37	другой стороны	1	1
38	у нас	3	1
39	и во	1	1
40	и ее	1	1
41	со всем	1	1
42	всякий интерес	1	1
43	в данном	1	1
44	на которой	1	1
45	кроме того	1	1
46	тем более	1	1
47	совершенно не	1	1
