N	4gram	Voloshinov_1	FransuaR
1	в то же время	3	6
2	но в то же	2	3
3	в большей или меньшей	1	3
4	находит свое выражение в	1	1
5	и не может быть	4	1
6	на самом же деле	2	1
7	свое яркое выражение в	1	1
8	одна и та же	1	1
9	или во всяком случае	1	1
10	одной и той же	2	1
11	лишь в меру своей	1	1
12	и как мы видели	1	1
13	выходит далеко за пределы	1	1
14	можно сказать что вся	1	1
15	нашло свое яркое выражение	1	1
16	что один и тот	1	1
17	не может быть ничего	1	1
18	в тесной связи с	1	1
19	один и тот же	3	1
20	более и более суживается	1	1
21	в этом случае происходит	1	1
22	все более и более	1	1
