N	3gram	Nazirov_Vr_1	Problemy
1	то же время	4	12
2	в то же	4	12
3	не может быть	2	6
4	и в то	1	5
5	во всяком случае	1	5
6	с которым он	1	5
7	в этом смысле	1	4
8	с точки зрения	2	4
9	его отношение к	1	4
10	а между тем	1	3
11	как и у	3	3
12	по крайней мере	1	3
13	но в то	2	3
14	в высшей степени	1	3
15	в конце концов	1	3
16	и в самом	1	3
17	с другой стороны	1	3
18	то что я	1	2
19	и не может	1	2
20	он и не	1	2
21	что в нем	1	2
22	записках из подполья	1	2
23	к запискам из	1	2
24	тем что он	1	2
25	в плане его	1	2
26	и в этом	1	2
27	каждый из них	1	2
28	что он сам	1	2
29	о том что	1	2
30	запискам из подполья	1	2
31	тем не менее	1	2
32	в своих собственных	1	1
33	исповеди ставрогина и	1	1
34	в котором он	1	1
35	в том же	1	1
36	до сих пор	1	1
37	в этом отношении	1	1
38	говорит о себе	1	1
39	всего то что	1	1
40	и то что	1	1
41	во время своих	1	1
42	на этот раз	1	1
43	это такая же	1	1
44	но при этом	1	1
45	быть и речи	1	1
46	среди них он	1	1
47	и то же	1	1
48	то что они	1	1
49	в этот момент	2	1
50	петра верховенского с	1	1
51	может быть и	1	1
52	одно и то	1	1
53	его отношения к	1	1
54	имел в виду	3	1
55	не мог знать	1	1
56	чтоб я не	1	1
57	в свою очередь	1	1
58	не только не	1	1
59	же не только	1	1
60	но в этом	1	1
61	за что же	1	1
62	он как бы	1	1
63	к нему с	1	1
64	на то что	1	1
65	записки из подполья	1	1
66	как бы в	1	1
67	в стиле рассказа	1	1
68	и во всем	1	1
69	и что он	1	1
70	из подполья но	1	1
71	в том что	2	1
72	же время с	1	1
73	в глубине души	1	1
