N	2gram	Potebnia_M_3	Literetu
1	не только	21	24
2	при этом	3	19
3	но и	19	17
4	в том	32	16
5	а не	15	16
6	том что	18	14
7	тогда как	2	13
8	может быть	28	13
9	и не	15	12
10	в этом	10	12
11	в своем	5	11
12	прежде всего	3	11
13	то что	18	10
14	или иначе	1	9
15	в целом	3	8
16	так или	2	8
17	не в	15	8
18	и в	30	8
19	только в	21	8
20	я и	3	7
21	как бы	3	7
22	в себе	16	7
23	не менее	5	7
24	в его	4	7
25	уже не	6	7
26	и я	1	6
27	то есть	34	6
28	как и	10	6
29	точки зрения	2	6
30	того что	18	6
31	связи с	2	6
32	в жизни	1	6
33	себя в	1	6
34	одним из	1	5
35	то же	23	5
36	отличие от	1	5
37	как в	10	5
38	наш взгляд	1	5
39	на наш	1	5
40	не столько	2	5
41	в то	10	5
42	для себя	3	5
43	искусства и	3	5
44	же время	5	5
45	же в	2	5
46	что он	6	5
47	уже в	5	5
48	не может	6	5
49	в данном	1	5
50	с этой	2	5
51	я в	1	5
52	с его	1	5
53	тем самым	7	5
54	в своей	2	4
55	еще не	5	4
56	столь же	4	4
57	но не	7	4
58	в этой	2	4
59	в художественном	1	4
60	все же	2	4
61	по преимуществу	1	4
62	перестает быть	4	4
63	не как	2	4
64	в силу	3	4
65	лишь в	1	4
66	для этого	1	4
67	с миром	1	4
68	и его	4	4
69	данном случае	1	4
70	так и	11	4
71	и тем	5	4
72	из них	6	4
73	друг друга	3	4
74	и т.п	1	4
75	со стороны	3	4
76	это не	1	4
77	например в	6	3
78	в сфере	1	3
79	тех же	1	3
80	и есть	3	3
81	тем же	4	3
82	самого себя	3	3
83	по отношению	5	3
84	в самом	8	3
85	бы не	4	3
86	таким образом	14	3
87	исходя из	1	3
88	той же	2	3
89	его в	3	3
90	в душе	10	3
91	далеко не	4	3
92	несмотря на	2	3
93	в их	2	3
94	но в	1	3
95	том же	2	3
96	в области	2	3
97	говоря словами	1	3
98	в виду	1	3
99	одного из	1	3
100	сводится к	1	3
101	другого в	1	3
102	один из	4	3
103	потому что	46	3
104	одно из	5	3
105	при всей	1	3
106	у него	2	3
107	и даже	2	3
108	с другой	7	3
109	в сознание	7	3
110	еще и	1	3
111	не было	4	3
