N	2gram	Bakhtin_fo_1	Sovremen
1	не может	6	17
2	может быть	11	12
3	точки зрения	5	12
4	таким образом	11	11
5	мы не	3	9
6	в каждом	1	8
7	в этом	25	7
8	и в	50	7
9	мы можем	1	6
10	ничего не	9	6
11	как и	8	6
12	и не	14	6
13	в результате	6	6
14	и наконец	1	5
15	все эти	9	5
16	прежде всего	15	5
17	с точки	2	5
18	в условиях	7	5
19	в дальнейшем	6	4
20	в зависимости	1	4
21	вопрос о	2	4
22	зависимости от	1	4
23	нет и	2	4
24	мы должны	2	4
25	в том	9	4
26	в целом	2	4
27	если мы	2	4
28	из них	1	4
29	так как	6	4
30	не только	9	4
31	с помощью	2	4
32	как бы	2	4
33	вместе с	3	4
34	это не	6	4
35	точку зрения	2	4
36	их в	3	4
37	а в	3	4
38	жизни и	8	4
39	он может	1	3
40	с самого	2	3
41	то же	11	3
42	ясно что	2	3
43	и т.д	1	3
44	между собой	4	3
45	его развития	1	3
46	отнюдь не	5	3
47	у всех	1	3
48	все же	6	3
49	еще не	5	3
50	но в	10	3
51	в этой	1	3
52	в себе	3	3
53	уже в	2	3
54	как он	2	3
55	ведь это	1	3
56	в одном	3	3
57	в конце	9	3
58	в нем	24	3
59	при этом	3	3
60	на этой	4	3
61	было бы	2	3
62	а не	3	3
63	и потому	3	3
64	этим мы	2	3
65	не в	5	3
66	все это	4	3
67	самого начала	2	3
68	не подлежит	1	3
69	одна из	2	3
70	для нас	2	3
71	и все	6	3
72	у нас	1	3
73	с необходимостью	2	3
74	и к	2	3
75	когда мы	1	3
76	отличается от	1	3
77	как мы	14	2
78	свою очередь	1	2
79	необходимо отметить	2	2
80	и есть	1	2
81	тем же	1	2
82	приводит к	1	2
83	роль в	9	2
84	той же	2	2
85	времени и	10	2
86	для его	1	2
87	и даже	2	2
88	говорим о	1	2
89	и во	7	2
90	самом деле	1	2
91	в его	13	2
92	с совершенно	1	2
93	может иметь	1	2
94	с этим	6	2
95	быть и	2	2
96	в самом	8	2
97	в которой	2	2
98	что это	1	2
99	в нашем	2	2
100	из этих	1	2
101	с одной	3	2
102	и пространства	4	2
103	со всеми	3	2
104	и они	1	2
105	уже не	2	2
106	то и	1	2
107	так сказать	7	2
108	с другом	1	2
109	всяком случае	1	2
110	у него	6	2
111	и по	2	2
112	отличие от	2	2
113	ее на	1	2
114	но все	5	2
115	что все	2	2
116	значение в	5	2
117	конечно в	1	2
118	или иной	2	2
119	в некоторых	2	2
120	а на	1	2
121	которой он	1	2
122	в один	1	2
123	он должен	2	2
124	из которых	1	2
125	в отличие	2	2
126	друг с	1	2
127	форма в	1	2
128	о жизни	1	2
129	же мы	1	2
130	можно назвать	2	2
131	она может	1	2
132	но очень	2	2
133	еще более	3	2
134	мы видим	3	2
135	тот же	1	2
136	в свою	2	2
137	такие же	1	2
138	совершенно не	2	2
