N	3gram	Losev_Vesc_1	Tragedij
1	в то же	1	5
2	и в частности	1	2
3	в данном случае	2	2
4	и как бы	1	2
5	о том что	4	2
6	и в самом	1	2
7	в том что	4	2
8	что это значит?	2	1
9	одно из самых	1	1
10	что нужно для	2	1
11	у него нет	1	1
12	сам по себе	3	1
13	в той же	1	1
14	и то что	3	1
15	нет это не	1	1
16	что все это	1	1
17	от самой действительности	1	1
18	в применении к	1	1
19	еще ничего не	1	1
20	во всяком случае	2	1
21	в конце концов	2	1
22	в чем же	3	1
23	по сравнению с	6	1
24	тем не менее	3	1
25	что когда я	1	1
26	по природе своей	1	1
27	все же не	1	1
28	не только к	2	1
29	не может быть	6	1
30	это и есть	1	1
31	что в ней	1	1
32	не только не	2	1
33	в самом деле	4	1
34	я не хочу	1	1
35	к тому что	2	1
36	и в сфере	1	1
