N	2gram	Tiupa_Vved_1	Sotsiolo
1	все это	1	7
2	в этом	21	5
3	в том	10	5
4	о литературе	1	3
5	для нас	2	3
6	не только	20	3
7	в его	4	3
8	и в	13	3
9	не в	6	3
10	и только	1	3
11	только в	6	2
12	может быть	18	2
13	по природе	1	2
14	и что	1	2
15	в результате	3	2
16	то же	5	2
17	должна быть	2	2
18	было бы	4	2
19	она может	1	2
20	далеко не	4	2
21	и мы	1	2
22	таким образом	4	2
23	но и	19	2
24	как будто	4	2
25	еще не	7	2
26	то что	6	2
27	или даже	1	2
28	по отношению	7	2
29	в частности	13	2
30	к которому	2	2
31	им не	1	2
32	отношению к	7	2
33	в конце	1	2
34	что в	3	2
35	как бы	4	2
36	том что	7	2
37	дело не	1	2
38	и не	12	1
39	в мире	8	1
40	и затем	1	1
41	в этой	1	1
42	столь же	1	1
43	в процессе	1	1
44	в своей	5	1
45	бы в	3	1
46	произведение как	1	1
47	еще и	1	1
48	по себе	2	1
49	все эти	1	1
50	объекта и	1	1
51	не один	2	1
52	представить себе	2	1
53	и его	5	1
54	понимаем всю	1	1
55	в целом	3	1
56	с другой	5	1
57	в сущности	1	1
58	в те	1	1
59	связи с	1	1
60	от друга	1	1
61	быть не	4	1
62	крайней мере	1	1
63	что она	1	1
64	в них	2	1
65	в связи	1	1
66	что он	1	1
67	тем же	1	1
68	точке зрения	1	1
69	что все	1	1
70	не было	2	1
71	сказать и	1	1
72	а вот	1	1
73	строгом значении	1	1
74	а с	2	1
75	и стало	1	1
76	это вовсе	1	1
77	ли не	2	1
78	конечном счете	1	1
79	но не	5	1
80	никак не	2	1
81	зависит от	2	1
82	на шею	1	1
83	и более	3	1
84	но она	1	1
85	вовсе не	1	1
86	все же	6	1
87	что на	2	1
88	между тем	1	1
89	но как	1	1
90	а в	6	1
91	в конечном	1	1
92	бы он	1	1
93	новое и	1	1
94	это не	6	1
95	в то	4	1
96	те же	2	1
97	мы должны	1	1
98	между ними	1	1
99	и наконец	2	1
100	на первый	1	1
101	никогда не	4	1
102	в силу	2	1
103	собой не	1	1
104	во всяком	1	1
105	в противном	1	1
106	в котором	8	1
107	тому что	1	1
108	в него	1	1
109	благодаря этому	1	1
110	отнюдь не	7	1
111	по крайней	1	1
112	иначе говоря	6	1
113	и о	1	1
114	в этих	3	1
115	том как	3	1
116	наконец в	1	1
117	именно такого	1	1
118	у него	1	1
119	словесного творчества	1	1
120	как и	11	1
121	с помощью	1	1
122	настоящее время	1	1
123	но именно	1	1
124	с ним	3	1
125	место в	2	1
126	в настоящее	1	1
127	один из	3	1
128	стало быть	7	1
129	в строгом	1	1
130	стала для	1	1
131	же не	1	1
132	как то	1	1
133	литература как	1	1
134	с одной	5	1
135	о том	5	1
136	даже в	1	1
137	одной стороны	5	1
138	же самое	1	1
139	и потому	1	1
140	хотя бы	1	1
141	что автор	1	1
142	слова но	2	1
143	и по	3	1
144	все то	1	1
145	что это	1	1
146	и благодаря	1	1
147	между собой	2	1
148	принять его	1	1
149	на этот	1	1
150	мы не	4	1
151	не может	7	1
152	же время	3	1
153	но только	1	1
154	прежде всего	7	1
155	они не	1	1
156	противном случае	1	1
157	благодаря тому	1	1
158	базируются на	1	1
159	всяком случае	1	1
160	иначе и	1	1
161	или не	2	1
162	друг от	1	1
163	тем что	2	1
164	полагает что	1	1
165	так и	8	1
166	искусство слова	1	1
167	в данном	13	1
168	в виде	1	1
169	как художественный	1	1
170	что без	1	1
171	перед нами	6	1
172	может служить	4	1
173	в области	3	1
