N	2gram	Nazirov_Tv_1	VerxiiNi
1	и в	21	26
2	таким образом	5	22
3	с тем	1	18
4	в этом	6	15
5	вместе с	2	15
6	как бы	17	12
7	в том	7	11
8	не только	7	10
9	и с	3	10
10	может быть	5	10
11	связи с	1	9
12	в области	1	9
13	так как	3	9
14	но и	3	9
15	что в	12	9
16	но не	3	8
17	и у	2	8
18	с другой	3	8
19	и не	7	8
20	но в	7	7
21	связанные с	1	7
22	но все	1	7
23	из них	2	7
24	том что	11	7
25	потому что	5	7
26	в эпоху	1	7
27	к нему	1	7
28	с одной	1	7
29	то что	8	7
30	а с	1	7
31	одной стороны	1	7
32	того же	2	6
33	представление о	3	6
34	все же	5	6
35	все эти	1	6
36	в себе	2	6
37	в отношении	1	6
38	к тому	2	6
39	так и	2	6
40	о том	6	6
41	в конце	1	6
42	что и	2	6
43	все это	10	6
44	мы должны	1	6
45	сих пор	1	5
46	и к	1	5
47	тому же	1	5
48	в мире	4	5
49	по крайней	2	5
50	не имеет	1	5
51	никогда не	3	5
52	в его	13	5
53	крайней мере	2	5
54	до сих	1	5
55	а не	5	5
56	к жизни	2	5
57	так же	3	5
58	одной из	4	5
59	в котором	6	4
60	то же	13	4
61	целый ряд	1	4
62	в самом	3	4
63	учение о	1	4
64	в этой	5	4
65	и по	3	4
66	что все	3	4
67	то есть	12	4
68	должен был	1	4
69	он не	8	4
70	далеко не	3	4
71	бога и	2	4
72	и тогда	1	4
73	в то	15	4
74	в нем	3	4
75	а в	6	4
76	что оно	1	4
77	и что	1	4
78	только в	5	4
79	к своим	1	4
80	русской жизни	4	4
81	на этот	1	4
82	не может	4	4
83	в смысле	1	4
84	и от	4	4
85	в этих	2	4
86	во время	1	4
87	что он	6	4
88	в виде	3	4
89	же как	1	3
90	из всех	4	3
91	богом в	1	3
92	не вполне	1	3
93	большей частью	1	3
94	если в	2	3
95	к сожалению	1	3
96	в своем	4	3
97	когда он	2	3
98	и как	4	3
99	за собой	1	3
100	в которой	3	3
101	что это	1	3
102	к достижению	2	3
103	и те	1	3
104	и если	1	3
105	при этом	7	3
106	европейской культуры	1	3
107	русского народа	1	3
108	тем не	2	3
109	не менее	6	3
110	представляет собой	3	3
111	в других	1	3
112	и о	1	3
113	но по	1	3
114	с самого	3	3
115	культуры и	1	3
116	можно сказать	2	3
117	путь к	1	3
118	того что	3	3
119	но с	1	3
120	хотя бы	5	3
121	в качестве	2	3
122	так что	2	3
123	уже не	3	3
124	для него	6	3
125	в одном	1	3
126	к ним	1	3
127	и даже	3	3
128	в связи	1	3
129	а так	1	3
130	с этой	1	3
131	конце концов	1	3
132	отношению к	1	3
133	и другие	3	3
134	к этому	2	3
135	в таком	1	3
136	точно так	2	3
137	всем и	1	2
138	говорили о	1	2
139	одним из	4	2
140	в русских	1	2
141	связана с	1	2
142	и это	1	2
143	когда человек	2	2
144	его не	1	2
145	мы имеем	1	2
146	надо было	2	2
147	грань между	1	2
148	еще не	1	2
149	и на	7	2
150	бы то	1	2
151	с его	11	2
152	во всех	1	2
153	в создании	1	2
154	друг на	1	2
155	некоторые из	2	2
156	и наконец	2	2
157	он в	1	2
158	был всегда	2	2
159	из этой	1	2
160	перестает быть	1	2
161	не к	1	2
162	от людей	2	2
163	его можно	1	2
164	людей и	2	2
165	заключает в	1	2
166	значительной части	1	2
167	связан с	3	2
168	то ни	1	2
169	на все	1	2
170	в глазах	1	2
171	в них	1	2
172	подвижников и	1	2
173	на друга	1	2
174	но если	3	2
175	не в	2	2
176	в россии	3	2
177	как от	1	2
178	вплоть до	1	2
179	самого начала	3	2
180	ее с	1	2
181	героев и	3	2
182	только не	1	2
183	больше чем	2	2
184	в самой	1	2
185	же время	12	2
186	в русском	1	2
187	ли это	1	2
188	и здесь	1	2
189	начиная с	1	2
190	не могут	1	2
191	выход из	1	2
192	те и	1	2
193	отличается от	1	2
194	время он	2	2
195	но при	1	2
196	приводит к	2	2
197	волю к	1	2
198	в образе	1	2
199	особенно в	1	2
200	можно только	1	2
201	для этого	1	2
202	мысль о	2	2
203	в виду	2	2
204	с того	1	2
205	добра и	3	2
206	между тем	1	2
207	вслед за	2	2
208	наконец в	1	2
209	один из	4	2
210	тот же	2	2
211	положение в	1	2
212	и действительно	1	2
213	очень много	1	2
214	от них	1	2
215	со всеми	3	2
216	для всех	1	2
217	уже в	3	2
218	больше не	4	2
219	свидетельствует о	2	2
220	одно из	1	2
221	и из	1	2
222	именно в	2	2
223	к которому	1	2
224	прежде всего	4	2
225	превращается в	1	2
226	не было	1	2
227	и все	6	2
228	среди них	1	2
229	так называемой	1	2
230	когда же	1	2
231	в одно	2	2
232	виде в	1	2
233	связь с	1	2
234	человек должен	1	2
235	и мир	2	2
236	по своему	1	2
237	особенно к	1	2
238	только для	1	2
239	же самое	1	2
240	при таком	1	2
241	о котором	2	2
242	и перед	1	2
243	в другое	1	2
244	но когда	1	2
245	из себя	2	2
246	только что	2	2
247	ни было	1	2
248	в свою	7	2
249	связанный с	1	2
250	в процессе	1	2
251	сказать что	2	2
252	к его	1	2
253	одновременно и	2	2
254	ко всему	1	2
255	жизни и	3	2
256	для эпохи	1	2
257	и волю	1	1
258	это неверно	1	1
259	себя как	2	1
260	только он	1	1
261	как известно	1	1
262	от этой	1	1
263	к людям	1	1
264	вряд ли	2	1
265	этого в	1	1
266	в сфере	1	1
267	к их	1	1
268	чтобы не	1	1
269	в этот	1	1
270	рассматривается как	1	1
271	и через	1	1
272	раз этот	1	1
273	самом деле	2	1
274	забывали что	1	1
275	этим сознанием	1	1
276	это и	3	1
277	но тем	1	1
278	и есть	1	1
279	этого мира	1	1
280	в первом	2	1
281	и до	1	1
282	высшее существо	1	1
283	и развитие	1	1
284	между человеком	1	1
285	и этот	1	1
286	мы уже	1	1
287	той же	3	1
288	их и	1	1
289	не прошли	1	1
290	а как	2	1
291	отличается и	1	1
292	бы и	1	1
293	мир его	2	1
294	он как	1	1
295	свое завершение	1	1
296	наклонность к	1	1
297	в сущности	1	1
298	время как	1	1
299	образом уже	1	1
300	не совсем	1	1
301	жизни это	1	1
302	кто же	2	1
303	в ней	2	1
304	занимает особое	1	1
305	что его	2	1
306	в чем	2	1
307	к нам	1	1
308	это зло	1	1
309	но считал	1	1
310	и всякий	1	1
311	по отношению	1	1
312	а и	1	1
313	а через	1	1
314	что так	1	1
315	отличие от	2	1
316	к своей	1	1
317	себя в	1	1
318	человек может	2	1
319	других ценностей	2	1
320	как по	1	1
321	в одной	2	1
322	эта связь	1	1
323	как в	8	1
324	как к	2	1
325	вспомним что	1	1
326	более и	1	1
327	это был	1	1
328	на человека	1	1
329	это тоже	1	1
330	и превращается	1	1
331	его к	1	1
332	всем существом	1	1
333	себе не	2	1
334	то в	2	1
335	к чему	1	1
336	та же	4	1
337	формы в	1	1
338	не был	3	1
339	чуть ли	1	1
340	бога в	1	1
341	есть о	1	1
342	связанного с	1	1
343	отчасти и	2	1
344	и будущее	2	1
345	сливаются в	1	1
346	имеем в	1	1
347	с народной	1	1
348	если он	1	1
349	вследствие этого	1	1
350	так сказать	2	1
351	на его	3	1
352	человек сознает	2	1
353	в нашей	2	1
354	по заповеди	1	1
355	всех этих	1	1
356	в первую	1	1
357	к одному	1	1
358	что еще	1	1
359	душу и	1	1
360	отделилась от	1	1
361	и более	1	1
362	с представлением	1	1
363	на земле	3	1
364	на этом	1	1
365	частей и	1	1
366	что она	2	1
367	человека в	6	1
368	том же	1	1
369	а по	2	1
370	на этой	1	1
371	его в	1	1
372	это было	1	1
373	заключается в	1	1
374	было в	2	1
375	первую очередь	1	1
376	есть не	2	1
377	это не	4	1
378	было бы	1	1
379	лишь на	1	1
380	весь мир	1	1
381	а просто	1	1
382	в жизни	2	1
383	… но	1	1
384	и смерти	1	1
385	ни в	1	1
386	о которых	1	1
387	соответствии с	3	1
388	как и	12	1
389	чем в	1	1
390	духовной жизни	1	1
391	и того	2	1
392	одного и	1	1
393	и выйти	1	1
394	почти в	1	1
395	в своей	4	1
396	что такое	1	1
397	интерес и	1	1
398	не отрицал	2	1
399	в их	3	1
400	человеком и	1	1
401	место в	3	1
402	однако этот	1	1
403	в отличие	2	1
404	жизни с	2	1
405	но эта	1	1
406	соприкосновения с	1	1
407	в прямом	1	1
408	борьбу с	1	1
409	однако в	2	1
410	он выступает	1	1
411	которого уже	1	1
412	по себе	1	1
413	даже в	3	1
414	народом в	1	1
415	этой области	1	1
416	с развитием	1	1
417	уйти в	2	1
418	борьбой с	1	1
419	эта мысль	1	1
420	что с	1	1
421	психики это	1	1
422	дело не	3	1
423	не по	3	1
424	в уме	1	1
425	для творчества	1	1
426	казалось бы	1	1
427	способен на	1	1
428	светил и	1	1
429	видим что	1	1
430	то у	1	1
431	уже говорили	1	1
432	другой стороны	1	1
433	к этим	1	1
434	только с	1	1
435	никуда не	2	1
436	и делает	1	1
437	но даже	1	1
438	угрызения совести	1	1
439	однако это	1	1
440	у нас	1	1
441	он вполне	1	1
442	и далее	2	1
443	могут быть	2	1
444	сама жизнь	1	1
445	бытия к	1	1
446	по возможности	1	1
447	а вместе	1	1
448	мысли о	1	1
449	не есть	1	1
450	встречаются и	1	1
451	за свою	1	1
452	с мировой	1	1
453	разные стороны	1	1
454	очиститься от	1	1
455	с ее	3	1
456	свою очередь	1	1
457	людей в	2	1
458	всего этого	1	1
459	в ее	1	1
460	данном случае	2	1
461	нет никакой	1	1
462	смерти в	1	1
463	человека тоже	1	1
464	только то	1	1
465	в себя	2	1
466	во главе	2	1
467	на поверхность	1	1
468	роль в	1	1
469	прямом смысле	1	1
470	если они	1	1
471	ясным что	1	1
472	это состояние	1	1
473	живет в	2	1
474	найти в	1	1
475	чем у	1	1
476	это мы	1	1
477	жизнь это	1	1
478	европы у	1	1
479	остается не	1	1
480	между собой	1	1
481	он сам	6	1
482	по мере	1	1
483	с ним	3	1
484	стремление к	2	1
485	против этого	1	1
486	это объясняется	1	1
487	считают что	1	1
488	и должно	1	1
489	и других	3	1
490	настоящее время	2	1
491	в глаза	2	1
492	одного из	2	1
493	может не	2	1
494	учения о	1	1
495	времени в	13	1
496	под именем	1	1
497	жизни он	2	1
498	связь между	1	1
499	в которую	1	1
500	том или	1	1
501	идет к	1	1
502	эти два	1	1
503	стоит и	1	1
504	что человек	3	1
505	во всей	2	1
506	не надо	1	1
507	язык в	1	1
508	в ту	3	1
509	происхождение и	1	1
510	ряд других	1	1
511	как она	1	1
512	эта тенденция	1	1
513	в сферу	1	1
514	известно что	2	1
515	совсем не	1	1
516	с ними	1	1
517	этот вопрос	1	1
518	в разные	1	1
519	всех его	1	1
520	и ее	1	1
521	их не	1	1
522	и его	6	1
523	по всей	1	1
524	страдание и	2	1
525	только на	2	1
526	своей природы	1	1
527	на этих	1	1
528	при помощи	2	1
529	в душе	1	1
530	ибо он	1	1
531	мы знаем	1	1
532	к мысли	1	1
533	не так	3	1
534	воздух а	1	1
535	и их	1	1
536	не означает	2	1
537	могло бы	1	1
538	сами по	1	1
539	у него	7	1
540	жизни на	1	1
541	заметить что	1	1
542	как раз	1	1
543	свое творчество	1	1
544	тем что	1	1
545	тогда как	1	1
546	представляют собой	1	1
547	блага и	1	1
548	своим личным	1	1
