N	2gram	Savitsky_P_1	Sotsiolo
1	все это	2	7
2	в том	9	5
3	в этом	10	5
4	и только	1	3
5	более чем	2	3
6	для нас	2	3
7	не только	17	3
8	и в	14	3
9	не в	5	3
10	в его	2	3
11	но и	6	2
12	и мы	2	2
13	было бы	6	2
14	в смысле	6	2
15	она может	1	2
16	должна быть	1	2
17	только в	7	2
18	по природе	1	2
19	далеко не	1	2
20	нужно было	2	2
21	в результате	1	2
22	тем более	2	2
23	том что	4	2
24	в частности	2	2
25	то что	4	2
26	главным образом	2	2
27	и что	1	2
28	литературы и	1	2
29	еще не	1	2
30	только как	1	2
31	что в	4	2
32	может быть	5	2
33	как бы	4	2
34	то же	9	2
35	что все	1	1
36	я и	3	1
37	по себе	4	1
38	в мире	2	1
39	в этой	1	1
40	отнюдь не	2	1
41	этой области	1	1
42	с другой	5	1
43	его в	1	1
44	это не	3	1
45	именно в	2	1
46	широте своего	1	1
47	все же	1	1
48	и есть	2	1
49	в то	7	1
50	кто не	1	1
51	тем же	1	1
52	должен понимать	1	1
53	только то	1	1
54	а с	1	1
55	вопросом о	1	1
56	и как	3	1
57	прежде всего	3	1
58	слова но	2	1
59	в них	2	1
60	не было	2	1
61	одной стороны	3	1
62	те же	1	1
63	и не	12	1
64	опирающаяся на	1	1
65	и связывается	1	1
66	никогда не	1	1
67	на основании	1	1
68	мы не	3	1
69	же время	7	1
70	и о	5	1
71	связь между	1	1
72	по широте	1	1
73	чуть ли	1	1
74	именно на	1	1
75	как и	1	1
76	для этого	1	1
77	этом не	1	1
78	в настоящее	1	1
79	она должна	1	1
80	мы должны	4	1
81	невозможно ни	1	1
82	из понимания	1	1
83	в этих	1	1
84	место в	1	1
85	хотя бы	8	1
86	не может	4	1
87	а в	4	1
88	работы в	1	1
89	тех кто	4	1
90	в области	11	1
91	и потому	4	1
92	настоящее время	1	1
93	представить себе	1	1
94	в котором	4	1
95	никак не	2	1
96	из тех	1	1
97	темы и	1	1
98	может не	1	1
99	столь же	3	1
100	время в	2	1
101	всяком случае	1	1
102	в силу	2	1
103	ни на	1	1
104	что это	1	1
105	выйдет из	1	1
106	ни были	1	1
107	ли не	1	1
108	с одной	3	1
109	но не	3	1
110	в виде	2	1
111	в данном	1	1
112	между тем	3	1
113	но как	1	1
114	и по	1	1
115	понимать что	1	1
116	и более	1	1
117	во всяком	1	1
118	в каждом	1	1
119	они не	1	1
