N	2gram	Trubetskoy_1	BTomashe
1	и не	19	2
2	больше чем	2	2
3	все это	6	2
4	в ней	2	2
5	видеть в	2	2
6	можно было	4	2
7	крайней мере	1	1
8	более что	1	1
9	узко и	1	1
10	тем более	1	1
11	остановиться на	1	1
12	говорить о	3	1
13	об этом	1	1
14	и в	14	1
15	ясного и	1	1
16	и о	2	1
17	к ней	1	1
18	следовало бы	1	1
19	что все	3	1
20	говорить не	1	1
21	с другой	1	1
22	в своей	5	1
23	на самом	6	1
24	на которой	2	1
25	как будто	2	1
26	не следует	1	1
27	сейчас в	1	1
28	было бы	5	1
29	все же	4	1
30	всяком случае	6	1
31	а о	1	1
32	никак не	1	1
33	точке зрения	3	1
34	еще не	3	1
35	и на	5	1
36	по нашему	1	1
37	одной из	3	1
38	работу по	1	1
39	должна быть	2	1
40	в значительной	3	1
41	прежде всего	8	1
42	для которой	1	1
43	в данном	7	1
44	и во	3	1
45	работа по	2	1
46	так и	1	1
47	не было	3	1
48	не следовало	1	1
49	совершенно не	2	1
50	не о	2	1
51	всего в	1	1
52	было говорить	1	1
53	до конца	1	1
54	неудивительно что	1	1
55	а не	2	1
56	что в	4	1
57	в области	2	1
58	по крайней	1	1
59	отнюдь не	7	1
60	таким образом	11	1
61	вопрос о	5	1
62	и более	2	1
63	и потому	3	1
64	не только	9	1
65	значительной степени	1	1
66	во всяком	9	1
67	целиком в	1	1
68	в эпоху	1	1
