N	2gram	Berdyaev_N_1	EvropaiE
1	и в	16	37
2	что в	9	21
3	не только	5	18
4	в то	2	16
5	хотя бы	2	15
6	в своем	1	14
7	но в	2	14
8	но и	3	14
9	и не	11	14
10	в этом	7	12
11	в области	1	11
12	в том	8	11
13	россия в	1	11
14	так и	2	10
15	в себе	2	9
16	только в	1	9
17	прежде всего	4	9
18	все более	1	9
19	не может	16	9
20	так же	2	9
21	в смысле	2	9
22	в ее	3	8
23	думать что	2	8
24	было бы	1	8
25	в своей	3	8
26	к тому	3	8
27	с одной	2	8
28	одной стороны	2	8
29	а также	1	7
30	так как	1	7
31	с другой	3	7
32	как и	7	7
33	по своему	4	7
34	может быть	7	6
35	и на	2	6
36	во всех	3	6
37	том что	2	6
38	того чтобы	2	6
39	для того	1	6
40	в последние	1	6
41	и даже	2	6
42	то что	4	6
43	же как	2	5
44	но не	2	5
45	не в	6	5
46	в россии	3	5
47	но если	1	5
48	от этого	1	5
49	и потому	4	5
50	в той	1	5
51	мы не	2	4
52	вопрос о	3	4
53	в ней	5	4
54	на путях	2	4
55	россии в	1	4
56	в самом	1	4
57	не имеет	4	4
58	сельского хозяйства	1	4
59	к ней	1	4
60	по себе	1	4
61	можно сказать	1	4
62	не на	1	4
63	как это	2	4
64	хозяйственной жизни	2	4
65	сказать что	3	4
66	культуры в	5	4
67	в каком	1	4
68	из всех	1	3
69	на себя	1	3
70	того же	1	3
71	моря и	1	3
72	россии и	1	3
73	как в	3	3
74	и к	5	3
75	в известном	1	3
76	вообще не	1	3
77	не будет	7	3
78	большинстве случаев	1	3
79	и мы	4	3
80	этом смысле	2	3
81	в них	4	3
82	с тем	3	3
83	никогда не	6	3
84	потому что	4	3
85	заключает в	1	3
86	в будущем	2	3
87	ли это	2	3
88	во все	1	3
89	можно было	2	3
90	о том	4	3
91	место в	2	3
92	и только	1	3
93	культур и	1	3
94	народов и	1	3
95	известном смысле	1	3
96	всяком случае	1	3
97	из них	1	3
98	потребность в	1	3
99	в прошлом	3	3
100	последние годы	1	3
101	к ним	3	3
102	тем что	1	3
103	в свою	1	3
104	связано с	1	3
105	и для	4	3
106	и от	2	3
107	мира и	2	3
108	жизни в	3	3
109	как на	1	3
110	во всяком	1	3
111	мира не	1	2
112	не уходит	1	2
113	по преимуществу	1	2
114	ведь и	2	2
115	должна быть	3	2
116	и этот	1	2
117	и другая	1	2
118	на них	1	2
119	в свои	2	2
120	которые они	1	2
121	в истории	3	2
122	с этим	2	2
123	помнить что	2	2
124	хотя и	2	2
125	в этой	1	2
126	он не	8	2
127	и революции	2	2
128	и еще	1	2
129	в силу	1	2
130	это значит	1	2
131	культуры но	1	2
132	в мире	3	2
133	и с	2	2
134	с другими	1	2
135	к природе	1	2
136	все другие	1	2
137	и творчества	2	2
138	для них	1	2
139	новый мир	1	2
140	нас к	1	2
141	духовной жизни	2	2
142	такой же	2	2
143	и того	1	2
144	в эту	1	2
145	в этих	1	2
146	и сейчас	1	2
147	в котором	1	2
148	не к	2	2
149	и более	1	2
150	к такой	1	2
151	она не	3	2
152	и имеет	1	2
