N	2gram	Medvedev_I_1	Stilisti
1	и в	1	42
2	и не	2	14
3	в этом	2	10
4	для того	1	9
5	никогда не	1	7
6	того чтобы	1	7
7	ничего не	2	7
8	так и	1	6
9	и с	3	5
10	а в	1	5
11	себя в	1	4
12	художественного творчества	1	4
13	и без	1	4
14	если бы	1	4
15	того что	1	4
16	а с	1	4
17	все это	1	4
18	бы в	1	4
19	какую роль	1	3
20	жизни и	1	3
21	не так	1	3
22	как только	1	3
23	в целом	1	3
24	нам в	1	2
25	очевидно что	1	2
26	все эти	1	2
27	и сам	1	2
28	в основе	1	2
29	в значительной	1	2
30	для него	1	2
31	в материале	1	2
32	тем что	1	2
33	не остается	1	1
34	бы что	2	1
35	говорить о	1	1
36	я не	1	1
37	того же	1	1
38	более чем	1	1
39	не здесь	1	1
40	от этого	1	1
41	он не	2	1
42	в художественном	1	1
43	нее и	1	1
44	произведения и	1	1
45	доказать что	1	1
46	что при	1	1
47	должен быть	2	1
48	что для	1	1
49	и о	1	1
50	и та	1	1
51	по отношению	1	1
52	могло бы	1	1
53	допустил бы	1	1
54	автор и	1	1
55	с другой	1	1
56	ненависть к	1	1
57	другое дело	1	1
58	что в	2	1
59	достоевского тем	1	1
60	другой стороны	1	1
61	отношению к	1	1
