N	2gram	Medvedev_I_1	Dialekti
1	и не	2	30
2	ничего не	2	17
3	стало быть	1	15
4	и в	1	15
5	того что	1	13
6	в этом	2	11
7	говорить о	1	11
8	в основе	1	10
9	все это	1	9
10	и о	1	8
11	что в	2	7
12	если бы	1	6
13	же это	1	5
14	того чтобы	1	5
15	я не	1	5
16	как только	1	5
17	так и	1	5
18	для того	1	5
19	и с	3	4
20	так то	1	4
21	бы в	1	4
22	жизни и	1	4
23	а если	1	3
24	от этого	1	3
25	все эти	1	3
26	от нее	1	3
27	только для	1	3
28	есть только	1	3
29	и та	1	3
30	и без	1	2
31	тех же	1	2
32	и ничего	1	2
33	это было	1	2
34	в них	1	2
35	нисколько не	1	2
36	как о	1	2
37	никогда не	1	2
38	данной личности	1	2
39	о ней	1	2
40	себя в	1	2
41	то и	1	2
42	не дает	1	2
43	тем что	1	2
44	другой стороны	1	2
45	факты и	1	2
46	только что	1	2
47	цель и	1	2
48	все четыре	1	1
49	очевидно что	1	1
50	и тот	1	1
51	он не	2	1
52	и еще	1	1
53	в первую	1	1
54	нее и	1	1
55	его цель	1	1
56	и очень	1	1
57	бы что	2	1
58	вплоть до	1	1
59	доказать что	1	1
60	а в	1	1
61	введение в	1	1
62	но когда	1	1
63	без этого	1	1
64	не так	1	1
65	с другой	1	1
66	что для	1	1
67	то она	1	1
68	видит в	1	1
69	по существу	1	1
70	остается как	1	1
