N	4gram	Vinokur_Ku_2	Problemy
1	в то же время	3	12
2	бы то ни было	1	4
3	какой бы то ни	1	1
4	в огромном большинстве случаев	1	1
5	несмотря на то что	1	1
6	уже с самого начала	1	1
7	из уст в уста	1	1
8	и т п но	2	1
9	может и не должен	1	1
10	что на самом деле	1	1
11	до сих пор еще	1	1
12	не может и не	1	1
13	в большей или меньшей	3	1
14	том и в другом	1	1
15	и т д и	1	1
16	и в том и	1	1
17	все более и более	1	1
18	и в самом деле	2	1
19	мы должны признать что	1	1
20	в том и в	1	1
21	сих пор еще не	1	1
22	и т п а	2	1
23	большей или меньшей степени	3	1
24	по себе и не	1	1
