N	2gram	Bakhtin_sl_2	Morfolog
1	может быть	37	52
2	и т	35	49
3	т д	2	47
4	таким образом	8	20
5	не может	20	17
6	в этих	7	16
7	могут быть	7	15
8	этих случаях	2	14
9	с этим	2	14
10	и в	39	13
11	действующих лиц	2	13
12	в этом	16	13
13	так как	4	12
14	и др	4	12
15	перед нами	3	11
16	связи с	3	11
17	чаще всего	1	11
18	то же	4	9
19	так и	15	9
20	этом случае	6	9
21	не всегда	2	9
22	прежде всего	8	9
23	а не	14	9
24	в связи	2	9
25	и не	22	9
26	что и	3	8
27	с другой	5	8
28	в результате	2	8
29	и этим	1	7
30	в качестве	1	7
31	все же	6	7
32	но не	6	6
33	это не	5	6
34	не могут	5	6
35	и здесь	2	6
36	а также	3	6
37	в форме	2	6
38	в том	5	6
39	а в	4	6
40	мы не	2	5
41	во всех	12	5
42	не все	2	5
43	то что	2	5
44	далеко не	2	5
45	не менее	4	5
46	или в	2	5
47	один из	5	5
48	мы увидим	2	5
49	как бы	7	5
50	то перед	1	5
51	и другие	2	5
52	также и	2	4
53	к началу	1	4
54	что его	1	4
55	то мы	1	4
56	как в	13	4
57	хотя и	2	4
58	и как	3	4
59	не только	24	4
60	на его	2	4
61	на этом	3	4
62	об этом	1	4
63	его в	4	4
64	вовсе не	10	4
65	как и	6	4
66	несмотря на	1	4
67	точки зрения	8	4
68	с точки	3	4
69	тем не	1	4
70	на котором	2	4
71	ничего не	1	4
72	тем что	1	4
73	в других	1	4
74	как мы	7	4
75	по отношению	4	4
76	случае не	1	4
77	и затем	2	4
78	в некоторых	3	4
79	другой стороны	1	4
80	там где	6	4
81	в иных	1	4
82	на пути	1	4
83	оно может	2	4
84	отношению к	4	4
85	героя в	3	4
86	что в	3	4
87	формы передачи	4	3
88	и для	5	3
89	между собой	1	3
90	вступают в	1	3
91	независимо от	2	3
92	целый ряд	1	3
93	как таковое	1	3
94	но в	6	3
95	в целом	1	3
96	в нашем	2	3
97	в пределах	13	3
98	и по	1	3
99	прежде чем	1	3
100	но все	5	3
101	входит в	4	3
102	ни в	4	3
103	и вне	2	3
104	в один	1	3
105	том что	5	3
106	в то	4	3
107	в сущности	6	3
108	на него	2	3
109	того чтобы	2	3
110	и другим	2	3
111	на нем	2	3
112	в живых	1	3
113	с собой	1	3
114	но и	21	3
115	он не	2	3
116	к нему	3	3
117	в какой	1	3
118	и ее	1	3
119	друг друга	1	3
120	мы можем	1	3
121	не является	1	3
122	для этой	1	3
123	последнем случае	1	3
124	но это	3	3
125	кроме того	2	3
126	же в	1	3
127	героя и	5	3
128	в последнем	1	3
129	если же	1	3
130	смысле слова	1	2
131	как это	3	2
132	собственном смысле	3	2
133	встречается и	1	2
134	для наших	1	2
135	как таковая	1	2
136	чем это	1	2
137	совсем не	1	2
138	и таким	1	2
139	если она	3	2
140	как уже	2	2
141	и к	6	2
142	более или	2	2
143	та же	1	2
144	у ивана	1	2
145	не значит	1	2
146	которое может	1	2
147	в нее	2	2
148	и за	1	2
149	в другом	2	2
150	мы уже	2	2
151	большинстве случаев	5	2
152	это было	1	2
153	и иных	4	2
154	за ней	2	2
155	этого не	1	2
156	на первый	1	2
157	или менее	2	2
158	для него	7	2
159	и при	2	2
160	что такое	1	2
161	и более	2	2
162	однако в	2	2
163	все эти	6	2
164	в таких	1	2
165	эти формы	4	2
166	одна из	4	2
167	все случаи	1	2
168	элемент в	1	2
169	и его	33	2
170	к себе	1	2
171	перейти к	1	2
172	для того	2	2
173	оно не	8	2
174	утверждать что	1	2
175	здесь не	4	2
176	и пользуется	1	2
177	в собственном	3	2
178	и что	1	2
179	если они	1	2
180	не с	3	2
181	д если	1	2
182	но здесь	4	2
183	путь на	1	2
184	о том	2	2
185	с одной	5	2
186	можно сказать	1	2
187	в различных	2	2
188	может не	2	2
189	ни к	2	2
190	и только	1	2
191	более сложный	1	2
192	является результатом	1	2
193	того что	1	2
194	как например	2	2
195	быть и	3	2
196	хотя бы	3	2
197	к различным	2	2
198	что он	2	2
199	или иные	1	2
200	только в	5	2
201	лиц не	1	2
202	себя в	8	2
203	наших целей	1	2
204	уже не	5	2
205	или на	2	2
206	в большинстве	6	2
207	в виде	2	2
208	его и	2	2
209	момент в	1	2
210	себя и	4	2
211	но есть	1	2
212	а на	1	2
213	не знает	2	2
214	не исключает	1	2
215	сказать что	3	2
216	на поиски	1	2
217	передачи и	10	2
218	героя герой	1	2
219	в частности	1	2
220	вступает с	1	2
221	одной стороны	5	2
222	или с	1	2
223	тем и	1	2
224	всегда ли	1	2
225	от него	5	2
226	или нет	1	2
227	одной из	1	2
228	или непосредственно	1	2
229	а во	1	2
230	к этому	1	2
231	более конкретных	1	1
