N	3gram	Ircho_Kome_2	Dialekti
1	с точки зрения	1	8
2	в том что	5	6
3	и та же	1	4
4	в связи с	3	4
5	одна и та	1	4
6	и стало быть	1	4
7	то же время	3	4
8	о том что	4	4
9	с другой стороны	1	4
10	в самом деле	1	3
11	как будто бы	1	3
12	в то же	3	3
13	так как будто	1	3
14	то время как	2	3
15	не может быть	1	3
16	в то время	3	3
17	не в состоянии	1	2
18	сомневаться в том	2	2
19	более или менее	1	2
20	имеется в виду	1	2
21	как это было	1	2
22	до сих пор	2	2
23	и т п	2	2
24	говоря уже о	2	2
25	не только в	1	2
26	тем не менее	1	2
27	так или иначе	3	2
28	во всяком случае	2	2
29	само по себе	1	2
30	с самого начала	1	2
31	что в нем	1	2
32	не говоря уже	2	2
33	я думаю что	1	1
34	одних и тех	2	1
35	в обоих случаях	2	1
36	тех пор пока	1	1
37	только потому что	2	1
38	время как в	1	1
39	в этом смысле	2	1
40	мы находим в	1	1
41	и в то	1	1
42	бы то ни	2	1
43	всякому ясно что	1	1
44	но и в	1	1
45	том что именно	1	1
46	и тех же	2	1
47	точно так же	1	1
48	может быть даже	1	1
49	можно сомневаться в	2	1
50	вместе с тем	4	1
51	тому и другому	1	1
52	в это время	2	1
53	с одной стороны	2	1
54	одно из двух	1	1
55	чем в любой	1	1
56	в любой другой	1	1
57	в нем не	2	1
58	и в том	1	1
59	представить себе как	1	1
60	важно что это	1	1
61	друг с другом	2	1
62	того или иного	1	1
63	не обязательно было	1	1
64	по сравнению с	1	1
65	не имеет значения	1	1
66	этого нет и	1	1
67	связи с этим	1	1
68	мы можем сказать	1	1
69	к выводу что	1	1
70	что и в	2	1
71	себя в театре	1	1
72	в разной степени	1	1
73	той или иной	1	1
74	речь идет о	2	1
75	но все же	1	1
76	каждой из них	1	1
77	за то что	4	1
78	до тех пор	3	1
79	и в литературе	1	1
80	но все эти	1	1
81	к тому что	2	1
82	к тому же	10	1
83	можем сказать что	1	1
84	на задний план	1	1
85	при всем том	1	1
86	независимо от того	2	1
