N	2gram	Berdyaev_M_1	Russkaja
1	не может	28	22
2	и не	11	19
3	в том	6	17
4	в этом	20	17
5	и в	28	14
6	то что	5	13
7	точки зрения	4	11
8	в то	2	10
9	но и	25	10
10	в себе	7	9
11	не только	29	9
12	том что	3	9
13	может быть	30	9
14	во всяком	1	9
15	того чтобы	2	8
16	прежде всего	10	8
17	русской интеллигенции	1	8
18	самом деле	1	7
19	к богу	3	7
20	и с	3	7
21	к тому	3	7
22	о том	2	7
23	самого себя	2	7
24	ни к	1	7
25	к которой	1	6
26	если в	1	6
27	в своем	10	6
28	и к	2	6
29	в россии	2	6
30	с тем	9	6
31	в своих	1	6
32	если бы	2	6
33	все это	6	6
34	и для	2	6
35	для того	2	6
36	что он	10	6
37	всяком случае	1	6
38	для него	11	6
39	на самом	1	6
40	своего народа	1	6
41	вопрос о	2	5
42	и на	6	5
43	во имя	10	5
44	во всех	1	5
45	в нем	13	5
46	он не	24	5
47	он должен	3	5
48	было бы	10	5
49	в своей	15	5
50	никогда не	14	5
51	потому что	16	5
52	между тем	1	5
53	и только	1	5
54	только в	6	5
55	хотя бы	3	5
56	конечно не	3	5
57	до сих	2	5
58	себя и	3	5
59	сих пор	2	5
60	а в	4	5
61	жизни в	2	5
62	и то	1	4
63	но не	8	4
64	себе и	2	4
65	себя в	3	4
66	все же	2	4
67	не в	16	4
68	в этой	6	4
69	на земле	2	4
70	тому чтобы	2	4
71	том случае	1	4
72	его в	3	4
73	как и	5	4
74	которой он	1	4
75	в их	4	4
76	точку зрения	1	4
77	во всем	1	4
78	а лишь	1	4
79	от того	1	4
80	не могут	5	4
81	когда они	1	4
82	приводит к	2	4
83	в мире	10	4
84	можно было	1	4
85	путь к	1	4
86	в его	9	4
87	так как	3	4
88	вместе с	6	4
89	он будет	1	4
90	что же	1	4
91	как бы	2	4
92	возможно лишь	1	4
93	жизни и	2	4
94	что в	10	4
95	к этой	2	4
96	все что	2	4
97	вряд ли	3	3
98	и т	1	3
99	сил и	1	3
100	и этот	4	3
101	еще не	1	3
102	он сам	6	3
103	россии и	1	3
104	что они	1	3
105	в самом	11	3
106	на том	3	3
107	был и	1	3
108	и по	4	3
109	лишь в	6	3
110	для них	3	3
111	должно быть	3	3
112	всех этих	1	3
113	но если	3	3
114	то это	1	3
115	приходит к	1	3
116	может не	2	3
117	при котором	1	3
118	в значительной	1	3
119	и во	2	3
120	борьбе с	1	3
121	что и	4	3
122	того что	7	3
123	одной из	1	3
124	с нею	1	3
125	в конце	7	3
126	себя от	1	3
127	тем что	4	3
128	не было	18	3
129	ко всем	3	3
130	и потому	10	3
131	да и	1	3
132	культуры в	1	3
133	она может	2	3
134	конце концов	2	3
135	и как	2	3
136	не есть	9	3
137	случае если	1	3
138	себя как	1	2
139	к отрицанию	9	2
140	и есть	14	2
141	должна быть	6	2
142	вся она	1	2
143	к чему	2	2
144	из всех	1	2
145	но она	1	2
146	в ней	15	2
147	или от	2	2
148	смотрят на	1	2
149	по отношению	2	2
150	с этим	3	2
151	целый ряд	1	2
152	и наконец	1	2
153	к культуре	1	2
154	но в	7	2
155	это есть	3	2
156	все эти	2	2
157	что ничего	1	2
158	во многих	1	2
159	и те	2	2
160	стремиться к	1	2
161	не к	4	2
162	и вот	3	2
163	европейской культуры	1	2
164	мы уже	1	2
165	участие в	1	2
166	нисколько не	1	2
167	в этих	4	2
168	во время	1	2
169	что такое	1	2
170	в котором	8	2
171	место в	2	2
172	ее он	1	2
173	в силу	1	2
174	и более	1	2
175	для россии	1	2
176	любовь к	2	2
177	она не	4	2
178	только для	1	2
179	культурной жизни	1	2
180	для нас	3	2
181	у него	17	2
182	весь смысл	1	2
183	людей и	2	2
184	на которой	1	2
185	как будто	2	2
186	в области	1	2
187	свое собственное	1	2
188	к себе	1	2
189	всю свою	1	2
190	отличается от	2	2
191	которой она	1	2
192	и о	1	2
193	и человек	2	2
194	культуры и	1	2
195	с самим	2	2
196	и что	2	2
197	это потому	1	2
198	любви к	7	2
199	от него	4	2
200	они вели	1	2
201	к нему	7	2
202	переносится на	1	2
203	быть и	1	2
204	что только	1	2
205	этот вопрос	1	2
206	бы ни	1	2
207	так что	1	2
208	в россию	1	2
209	уже не	4	2
210	в начале	2	2
211	его и	1	2
212	разных сторон	1	2
213	не так	3	2
214	только с	1	2
215	и вместе	4	2
216	даже и	2	2
217	и даже	1	2
218	духовная природа	1	2
219	будет ли	1	2
220	у других	1	2
221	а не	25	2
222	себя на	1	2
223	в частности	1	2
224	так же	1	2
225	– не	5	2
226	в течение	1	2
227	если человек	1	2
228	отношения к	4	2
229	есть и	3	2
230	но это	1	2
231	от нас	1	2
232	если не	1	2
233	и от	2	2
234	не должен	1	2
235	с ним	2	2
236	отношении к	2	2
237	на это	1	2
238	и состоит	1	2
239	пути к	1	2
240	с новыми	2	1
241	и всякому	1	1
242	человек только	2	1
243	и действительно	1	1
244	должен быть	2	1
245	сплошь и	1	1
246	тех же	1	1
247	это и	4	1
248	не хочет	2	1
249	ту же	1	1
250	можно лишь	1	1
251	с таким	1	1
252	со своей	1	1
253	в зависимости	1	1
254	также и	2	1
255	есть не	4	1
256	есть единственное	2	1
257	всему этому	1	1
258	мы не	1	1
259	и ничего	1	1
260	не во	1	1
261	ни у	1	1
262	а где	1	1
263	имеет свою	1	1
264	не была	3	1
265	о россии	2	1
266	путь ко	1	1
267	в деле	1	1
268	оно есть	1	1
269	основании что	2	1
270	национальной души	1	1
