N	3gram	Vinokur_St_2	Tragedij
1	то же время	1	5
2	в то же	1	5
3	так и в	2	3
4	в отличие от	2	2
5	о чем он	1	2
6	точно так же	1	2
7	не мудрено что	1	2
8	в данном случае	1	2
9	о том что	11	2
10	но все же	2	2
11	в том что	16	2
12	в этом случае	1	1
13	а между тем	1	1
14	в обоих случаях	1	1
15	и теперь еще	1	1
16	не только по	2	1
17	в таком виде	1	1
18	бы может быть	1	1
19	и всегда будет	1	1
20	том что он	5	1
21	на этот счет	1	1
22	бориса годунова и	5	1
23	сам по себе	1	1
24	и презрение к	1	1
25	в той же	1	1
26	что он не	4	1
27	и т п	3	1
28	за то что	2	1
29	никогда не был	1	1
30	факт что в	1	1
31	и который сам	1	1
32	свою трагедию с	2	1
33	во всяком случае	3	1
34	в высшей степени	1	1
35	в конце концов	1	1
36	в чем же	1	1
37	и в этом	2	1
38	по сравнению с	1	1
39	тем не менее	2	1
40	которой не может	1	1
41	в связи с	1	1
42	то что он	2	1
43	не только к	1	1
44	вместо того чтобы	1	1
45	на вопрос о	1	1
46	нет в нем	1	1
47	в точности соответствует	1	1
48	и вместе с	1	1
49	что в ней	1	1
50	же время с	1	1
51	в одном из	3	1
52	с того что	1	1
53	с самого начала	3	1
54	не только не	2	1
55	в самом деле	2	1
56	как своего рода	2	1
57	в этом варианте	1	1
58	после того как	4	1
59	к тому что	5	1
60	для него была	1	1
61	в какой-то мере	1	1
