N	2gram	Tiupa_Narr_1	Sotsiolo
1	в этом	17	5
2	в том	18	5
3	для нас	1	3
4	не только	32	3
5	как же	1	3
6	в его	9	3
7	и в	19	3
8	не в	14	3
9	и только	2	3
10	только в	4	2
11	их между	1	2
12	может быть	25	2
13	в результате	2	2
14	это и	3	2
15	то же	4	2
16	должна быть	2	2
17	было бы	4	2
18	она может	2	2
19	далеко не	5	2
20	таким образом	1	2
21	но и	23	2
22	как будто	3	2
23	тем более	2	2
24	еще не	7	2
25	то что	11	2
26	или даже	2	2
27	по отношению	7	2
28	в частности	14	2
29	к которому	2	2
30	отношению к	6	2
31	очевидно что	1	2
32	по существу	2	2
33	как только	1	2
34	в конце	1	2
35	что в	3	2
36	как бы	4	2
37	в смысле	1	2
38	том что	14	2
39	дело не	1	2
40	и не	20	1
41	в мире	9	1
42	в область	2	1
43	кто не	1	1
44	и есть	1	1
45	более не	2	1
46	в этой	5	1
47	столь же	3	1
48	для изучения	1	1
49	в процессе	1	1
50	может не	3	1
51	по себе	5	1
52	все эти	2	1
53	только то	1	1
54	и его	5	1
55	не дает	1	1
56	в целом	1	1
57	с другой	8	1
58	их друг	1	1
59	в сущности	3	1
60	связи с	4	1
61	от друга	1	1
62	быть не	1	1
63	крайней мере	1	1
64	в них	1	1
65	не желая	1	1
66	в связи	2	1
67	что он	6	1
68	точке зрения	1	1
69	о художественных	1	1
70	представляется нам	1	1
71	что все	1	1
72	он ни	1	1
73	не было	2	1
74	когда мы	2	1
75	исторического характера	1	1
76	а с	3	1
77	настаивает на	1	1
78	конечном счете	2	1
79	но не	5	1
80	зависит от	2	1
81	и более	1	1
82	но она	1	1
83	вовсе не	1	1
84	все же	7	1
85	что на	2	1
86	между тем	3	1
87	но как	2	1
88	а в	11	1
89	в конечном	3	1
90	бы он	1	1
91	новое и	1	1
92	это не	2	1
93	в то	3	1
94	те же	4	1
95	между ними	2	1
96	и наконец	1	1
97	в чем	1	1
98	на первый	2	1
99	никогда не	3	1
100	в силу	4	1
101	собой не	2	1
102	в котором	1	1
103	жанр как	1	1
104	в него	1	1
105	благодаря этому	1	1
106	отнюдь не	5	1
107	по крайней	1	1
108	утверждает в	1	1
109	иначе говоря	6	1
110	наконец в	2	1
111	именно такого	1	1
112	у него	4	1
113	как и	7	1
114	но именно	1	1
115	с ним	1	1
116	место в	1	1
117	ни на	1	1
118	не мешает	1	1
119	один из	3	1
120	мы переходим	1	1
121	и как	5	1
122	же не	4	1
123	как то	1	1
124	его в	2	1
125	с одной	7	1
126	о том	6	1
127	на что	1	1
128	что данный	1	1
129	даже в	2	1
130	тотчас же	1	1
131	одной стороны	7	1
132	же самое	1	1
133	но стоит	1	1
134	их на	1	1
135	и потому	2	1
136	хотя бы	4	1
137	опираясь на	1	1
138	к изучению	1	1
139	это дает	1	1
140	дает нам	1	1
141	могут оказаться	1	1
142	время в	2	1
143	и по	1	1
144	ничего не	2	1
145	все то	2	1
146	что это	3	1
147	между собой	2	1
148	мы не	1	1
149	не может	10	1
150	тех кто	1	1
151	же время	4	1
152	даже не	3	1
153	прежде всего	4	1
154	они не	2	1
155	сколь и	1	1
156	не от	2	1
157	друг от	1	1
158	тем что	3	1
159	этом не	1	1
160	так и	9	1
161	в данном	5	1
162	именно в	6	1
163	только когда	1	1
164	это же	1	1
165	перед нами	4	1
166	могло и	1	1
167	может служить	1	1
168	в области	2	1
