N	4gram	Savitsky_E_1	Literetu
1	в то же время	14	9
2	поскольку речь идет о	1	2
3	не говоря уже о	1	2
4	стрелой татарской древней воли	1	1
5	наш путь стрелой татарской	1	1
6	например с точки зрения	2	1
7	с одной стороны и	6	1
8	ясен долгий путь наш	1	1
9	нам ясен долгий путь	1	1
10	долгий путь наш путь	1	1
11	путь наш путь стрелой	1	1
12	бы то ни было	4	1
13	с этой точки зрения	5	1
14	в том числе и	1	1
15	и в то же	8	1
16	путь стрелой татарской древней	1	1
17	воли пронзил нам грудь	1	1
18	древней воли пронзил нам	1	1
19	татарской древней воли пронзил	1	1
20	и даже более того	1	1
21	то же время не	1	1
