N	4gram	Medvedev_F_2	formyVre
1	в то же время	5	6
2	и в то же	3	4
3	ни в чем не	1	2
4	не для того чтобы	1	2
5	не может быть конечно	1	2
6	в связи с этим	3	2
7	имеет место и в	1	1
8	может быть и речи	3	1
9	по самому своему существу	1	1
10	мы имеем в виду	1	1
11	та же что и	1	1
12	и прежде всего в	1	1
13	и т п все	1	1
14	и до сих пор	1	1
15	или во всяком случае	1	1
16	не может быть и	3	1
17	в процессе разрешения этой	1	1
18	остановимся прежде всего на	1	1
19	но в то же	1	1
20	вместе с тем и	2	1
21	все более и более	1	1
22	и т п такая	1	1
