1	дело в том что	2	3
2	не имеет ничего общего	1	2
3	не что иное как	1	2
4	есть не что иное	1	2
5	что в конце концов	1	1
6	все дело в том	1	1
7	имеет ничего общего с	1	1
8	нечто само собой разумеющееся	1	1
9	и в другом случае	1	1
10	человека а следовательно и	1	1
11	как нечто само собой	1	1
12	но в то же	3	1
13	бы оно ни было	2	1
14	на самом же деле	1	1
15	в том и в	1	1
16	взятый сам по себе	1	1
17	и в этом отношении	1	1
18	и в том и	1	1
19	никакого отношения к самому	1	1
20	является одним из самых	1	1
21	и до наших дней	1	1
22	том и в другом	1	1
23	есть прежде всего ее	1	1
24	как бы оно ни	1	1
