N	3gram	Losev_Prob_2	Morfolog
1	и т д	6	47
2	в этих случаях	1	13
3	в этом случае	7	9
4	в связи с	5	8
5	не может быть	3	8
6	подобно тому как	2	5
7	связи с этим	2	5
8	не может считаться	1	4
9	с другой стороны	5	4
10	тем не менее	12	4
11	далеко не все	1	3
12	на самом деле	2	3
13	но все же	1	3
14	более или менее	4	2
15	в настоящее время	16	2
16	в собственном смысле	1	2
17	точно так же	3	2
18	может быть и	2	2
19	то время как	1	2
20	с одной стороны	5	2
21	на первый взгляд	1	2
22	в то время	1	2
23	для того чтобы	2	2
24	в том что	4	2
25	таким образом что	1	1
26	в тот момент	1	1
27	растения и животные	1	1
28	то ни стало	1	1
29	то это значит	2	1
30	а вовсе не	1	1
31	т д это	1	1
32	которые хотя и	1	1
33	это было бы	1	1
34	но то что	1	1
35	он может быть	1	1
36	о том как	1	1
37	что иное как	3	1
38	лежат в основе	1	1
39	во что бы	1	1
40	может быть определен	1	1
41	до сих пор	4	1
42	тем что она	1	1
43	в таком случае	10	1
44	том случае если	1	1
45	бы то ни	2	1
46	но это не	1	1
47	можно было бы	2	1
48	но если мы	2	1
49	не то что	1	1
50	в том случае	2	1
51	что совсем не	1	1
52	в том или	1	1
53	и многие другие	2	1
54	в данном случае	5	1
55	что бы то	1	1
56	в целом и	1	1
57	на те или	1	1
58	и то же	1	1
59	и этот момент	1	1
60	имеет ничего общего	2	1
61	иметь в виду	1	1
62	перед нами в	1	1
63	все более и	1	1
64	она все же	1	1
65	во всяком случае	10	1
66	так же и	2	1
67	и как они	1	1
68	а на самом	1	1
69	ни в каких	1	1
70	потому что они	1	1
71	не имеет ничего	2	1
72	находится еще в	2	1
73	есть не что	3	1
74	друг к другу	2	1
75	в одном случае	1	1
76	здесь не может	1	1
77	мы имеем в	1	1
78	те или иные	3	1
79	о том что	14	1
80	то что не	2	1
81	с самого начала	2	1
82	это значит что	3	1
83	ни одна из	1	1
84	этом случае он	1	1
85	в этих условиях	1	1
86	он не может	1	1
87	той или иной	1	1
88	можно сказать что	3	1
89	на то что	4	1
90	и независимо от	2	1
91	и многое другое	1	1
92	в другом случае	1	1
93	в то же	4	1
94	более и более	1	1
95	не что иное	3	1
96	с этим мы	1	1
97	во многих отношениях	1	1
98	на русском языке	2	1
99	никак нельзя было	1	1
100	того или другого	2	1
