N	2gram	Voloshinov_1	Mirosoze
1	у достоевского	1	42
2	может быть	13	30
3	не только	27	29
4	не может	12	28
5	и в	38	28
6	но и	13	25
7	а не	6	25
8	он не	2	24
9	в этом	10	20
10	не было	2	18
11	у него	1	17
12	не в	6	16
13	потому что	5	16
14	в своей	2	15
15	в ней	8	15
16	человека и	1	14
17	никогда не	7	14
18	и есть	1	14
19	в нем	4	13
20	человека в	2	13
21	и он	2	12
22	и это	7	12
23	и не	14	11
24	в самом	4	11
25	для него	3	11
26	прежде всего	21	10
27	был бы	1	10
28	и все	4	10
29	человек не	2	10
30	что в	1	10
31	и потому	2	10
32	в мире	2	10
33	что он	2	10
34	было бы	7	10
35	в своем	1	10
36	с тем	8	9
37	те которые	1	9
38	в его	6	9
39	и его	7	9
40	не есть	1	9
41	но не	2	8
42	в котором	3	8
43	в себе	9	7
44	к нему	2	7
45	в конце	6	7
46	того что	4	7
47	нет ничего	2	7
48	но в	5	7
49	не был	1	7
50	в самой	1	7
51	быть может	3	7
52	в которой	7	6
53	вместе с	5	6
54	в том	2	6
55	лишь в	4	6
56	только в	6	6
57	человек должен	1	6
58	в этой	6	6
59	и на	6	6
60	все это	4	6
61	он уже	1	6
62	как и	10	5
63	если он	3	5
64	человека на	1	5
65	нет и	3	5
66	это не	3	5
67	у нас	4	5
68	у человека	2	5
69	мира и	1	5
70	не могут	1	5
71	то что	8	5
72	и этот	1	4
73	не знает	3	4
74	нет в	1	4
75	не к	3	4
76	точки зрения	10	4
77	увидим что	2	4
78	в их	1	4
79	а в	5	4
80	есть не	2	4
81	с этой	1	4
82	отношения к	3	4
83	человека не	4	4
84	в середине	2	4
85	человека но	1	4
86	в этих	2	4
87	за пределы	1	4
88	мог бы	1	4
89	смысле слова	1	4
90	один из	4	4
91	это и	1	4
92	уже не	4	4
93	в христианском	1	4
94	тем что	2	4
95	что и	3	4
96	она не	1	4
97	не как	1	4
98	которых он	1	4
99	уже в	5	4
100	в которых	2	4
101	должен был	1	4
102	отношение к	2	4
103	и с	5	3
104	для нас	3	3
105	и вот	3	3
106	в него	1	3
107	для них	2	3
108	и их	5	3
109	в жизни	2	3
110	хотя бы	18	3
111	то есть	4	3
112	не так	3	3
113	для человека	1	3
114	бы и	2	3
115	заключает в	4	3
116	этот процесс	2	3
117	его в	4	3
118	не мог	3	3
119	все его	1	3
120	в ее	3	3
121	что человек	1	3
122	к тому	4	3
123	но если	1	3
124	мы увидим	5	3
125	социальной среды	1	3
126	с этим	2	3
127	должно быть	2	3
128	ничего не	8	3
129	вряд ли	3	3
130	на этом	1	3
131	вращается вокруг	2	3
132	будто бы	1	3
133	когда он	1	3
134	в иной	1	3
135	с собой	2	3
136	в движении	2	3
