N	2gram	Potebnia_M_2	VrazhdaK
1	не только	15	9
2	в этом	8	8
3	и в	24	8
4	и что	4	8
5	но и	9	7
6	и все	3	7
7	то что	20	7
8	что в	16	7
9	все же	5	6
10	но в	4	6
11	в нем	9	6
12	как и	7	6
13	в котором	4	6
14	и с	1	6
15	то же	12	5
16	об этом	1	5
17	в то	6	5
18	же время	2	5
19	между тем	6	5
20	у него	2	5
21	не было	6	5
22	и не	19	5
23	в ней	3	4
24	что он	4	4
25	в истории	1	4
26	при этом	13	4
27	это не	3	4
28	все это	2	4
29	во многом	1	4
30	с ним	5	4
31	о том	5	4
32	для нас	31	4
33	уже в	5	4
34	может быть	23	4
35	как бы	9	4
36	в своих	1	4
37	так же	2	4
38	одним из	1	3
39	в чем	7	3
40	с его	2	3
41	и как	6	3
42	в этот	1	3
43	на то	5	3
44	его в	3	3
45	он не	1	3
46	далеко не	3	3
47	и уже	5	3
48	том что	8	3
49	но он	2	3
50	что есть	2	3
51	и его	2	3
52	связи с	6	3
53	человека в	3	3
54	и о	1	3
55	что у	2	3
56	и во	3	3
57	в его	2	3
58	в том	18	3
59	давно уже	1	3
60	и у	3	3
61	тем что	7	3
62	в связи	2	3
63	эти слова	1	3
64	к этому	2	3
65	отношения к	2	2
66	и то	3	2
67	на место	1	2
68	столь же	5	2
69	но как	1	2
70	ответ на	1	2
71	тогда как	10	2
72	человека с	1	2
73	в известном	1	2
74	в той	1	2
75	его на	2	2
76	что к	1	2
77	в себе	10	2
78	время и	2	2
79	о которой	3	2
80	в нашей	2	2
81	их в	2	2
82	таким образом	11	2
83	в глазах	1	2
84	в них	5	2
85	рядом с	3	2
86	а с	2	2
87	мы знаем	2	2
88	в эту	3	2
89	во время	4	2
90	с точки	1	2
91	место в	4	2
92	не менее	5	2
93	том же	1	2
94	одна из	4	2
95	никогда не	4	2
96	к себе	1	2
97	его с	2	2
98	мысли на	1	2
99	на это	1	2
100	и это	2	2
101	же не	1	2
102	так в	4	2
103	еще не	4	2
104	тем более	1	2
105	по мнению	1	2
106	с нею	2	2
107	уже не	4	2
108	при помощи	1	2
