N	3gram	Ircho_Kome_1	Vladivir
1	в том что	9	10
2	тем не менее	1	9
3	о том что	3	8
4	вместе с тем	1	6
5	более или менее	1	5
6	что же касается	1	5
7	в конце концов	4	5
8	к тому же	5	5
9	в то время	5	4
10	том что в	1	3
11	бы то ни	2	3
12	во всяком случае	2	3
13	с одной стороны	3	3
14	в то же	4	3
15	в отличие от	1	3
16	как мы видели	1	3
17	сам по себе	1	2
18	в этом отношении	3	2
19	независимо от того	1	2
20	в это время	1	2
21	так же как	1	2
22	в данном случае	1	2
23	только в виде	1	2
24	то время как	4	2
25	так или иначе	1	2
26	на себя внимание	1	2
27	с другой стороны	5	2
28	и в том	1	2
29	бросается в глаза	1	2
30	обращает на себя	1	2
31	то же время	4	2
32	далеко за пределы	1	2
33	едва ли можно	1	2
34	т i с	1	2
35	на то что	2	2
36	к тому что	1	2
37	в специальном журнале	1	1
38	что иное как	1	1
39	не мог бы	1	1
40	в течение одного	1	1
41	и не только	1	1
42	том что он	4	1
43	в том же	1	1
44	может и не	1	1
45	же как и	1	1
46	до сих пор	2	1
47	выходит далеко за	1	1
48	при этом что	2	1
49	начала до конца	1	1
50	у него не	1	1
51	в первую очередь	2	1
52	и в дальнейшем	1	1
53	незадолго до того	1	1
54	и в тех	1	1
55	можно было бы	1	1
56	это вовсе не	1	1
57	одна из них	1	1
58	прочим еще и	1	1
59	он не мог	1	1
60	с тех пор	1	1
61	еще и теперь	1	1
62	с этой точки	1	1
63	в течение всей	1	1
64	чтобы в этой	1	1
65	в этой области	1	1
66	ни в одном	1	1
67	не только в	1	1
68	то ни было	2	1
69	именно в этой	1	1
70	не говоря уже	2	1
71	на этот раз	1	1
72	но и она	1	1
73	как будто бы	1	1
74	но и не	1	1
75	одной из самых	1	1
76	если они не	1	1
77	в новое время	2	1
78	о которых мы	1	1
79	тем что их	1	1
80	потому что они	1	1
81	этой точки зрения	1	1
82	между прочим еще	1	1
83	не мог не	1	1
84	в более ранних	1	1
85	с самого начала	1	1
86	в течение всего	1	1
87	при всем различии	1	1
88	как раз на	1	1
89	в том числе	1	1
90	не что иное	1	1
91	мы уже знаем	1	1
92	мы бы назвали	1	1
93	для того чтобы	1	1
94	да и сам	1	1
95	то же самое	2	1
