N	2gram	Potebnia_M_4	ViktorSh
1	в том	23	2
2	и в	23	2
3	том что	12	2
4	дело в	1	1
5	как же	4	1
6	только в	15	1
7	и не	18	1
8	в другом	1	1
9	то же	14	1
10	слово по	1	1
11	зависят от	2	1
12	по крайней	5	1
13	ясно что	1	1
14	что сами	1	1
15	сказать чтобы	2	1
16	так как	14	1
17	и его	2	1
18	то я	1	1
19	в которых	3	1
20	так в	3	1
21	да и	4	1
22	прозы в	1	1
23	в этом	23	1
24	главным образом	1	1
25	крайней мере	5	1
26	столь же	2	1
27	стоит на	1	1
28	что слово	10	1
29	том же	2	1
30	в их	1	1
31	именно в	3	1
32	ни к	2	1
33	отношений но	1	1
34	и только	3	1
35	и то	5	1
36	в частности	1	1
37	по поводу	4	1
38	потому что	33	1
39	в теории	1	1
40	далеко не	1	1
41	хотя бы	4	1
42	чем больше	2	1
43	в самом	3	1
44	все то	1	1
45	на одном	1	1
46	история языка	1	1
47	вещь и	1	1
48	даже не	2	1
49	все это	5	1
50	бы уже	1	1
51	но это	3	1
52	более чем	3	1
53	и самым	1	1
54	что язык	7	1
55	же с	2	1
56	самом деле	3	1
57	значительной степени	2	1
58	себе лишь	1	1
59	под влиянием	1	1
60	тем более	5	1
61	я не	2	1
