N	3gram	Vinokur_Ku_3	slovoVRo
1	и т п	41	33
2	не может быть	3	15
3	в отличие от	2	12
4	в этом случае	4	6
5	с одной стороны	4	5
6	той или иной	5	5
7	по отношению к	2	4
8	в зависимости от	7	4
9	то же время	1	4
10	но все же	1	4
11	в то же	1	4
12	в том что	8	4
13	в той или	2	3
14	с точки зрения	16	3
15	сама по себе	2	3
16	в собственном смысле	1	3
17	или иной степени	1	3
18	т п все	2	3
19	между словом и	1	3
20	так и в	3	3
21	а вовсе не	1	2
22	в свою очередь	1	2
23	более или менее	2	2
24	до сих пор	8	2
25	хотя бы и	1	2
26	т п но	3	2
27	может быть и	1	2
28	не только в	3	2
29	не могут быть	2	2
30	никогда не может	1	2
31	во всяком случае	1	2
32	может быть до	1	2
33	п все это	1	2
34	как уже сказано	1	2
35	т п в	3	2
36	поэтическое слово в	1	2
37	в связи с	4	2
38	для того чтобы	11	2
39	и т д	8	2
40	в этом его	1	1
41	литературного языка но	1	1
42	но она может	1	1
43	точка зрения на	1	1
44	хотя и не	1	1
45	мы говорим о	1	1
46	в какой мере	2	1
47	в чем же	1	1
48	а не с	1	1
49	таких моментов которые	1	1
50	далеко не все	1	1
51	и в поэзии	1	1
52	также и в	1	1
53	в том числе	2	1
54	эта установка на	1	1
55	создает благоприятную почву	1	1
56	литературный язык как	1	1
57	и в той	1	1
58	и в то	1	1
59	отдельных слов и	1	1
60	но и в	1	1
61	слов и выражений	2	1
62	и не может	1	1
63	для нас в	1	1
64	слове можно говорить	1	1
65	точки зрения на	2	1
66	моменты в слове	1	1
67	свой смысл и	1	1
68	в процессе развития	1	1
69	а также в	1	1
70	еще раз подчеркнуть	1	1
71	по себе еще	1	1
72	и не могут	1	1
73	что он не	1	1
74	на фоне этого	1	1
75	о слове как	1	1
76	говорить об особой	1	1
77	в письменной речи	1	1
78	как и слово	1	1
79	не только как	3	1
80	для этой цели	1	1
81	это не значит	1	1
82	те или иные	1	1
83	в целом ряде	1	1
84	с другой стороны	3	1
85	тем или иным	1	1
86	именно в том	1	1
87	тем не менее	9	1
88	языка но это	1	1
89	целом ряде случаев	1	1
90	о том что	3	1
91	того же языка	1	1
92	того или иного	3	1
93	а в том	1	1
94	вовсе не в	1	1
95	мы не можем	1	1
96	не только не	1	1
97	но в этом	1	1
98	и остается в	1	1
99	не с точки	1	1
100	раз подчеркнуть что	1	1
101	уже не только	2	1
102	которые в таком	2	1
103	тех или иных	1	1
104	должна быть также	1	1
105	т п то	1	1
106	в русском языке	2	1
107	представить себе как	1	1
108	говорить о слове	1	1
109	конечно далеко не	1	1
110	мы увидим что	1	1
111	как мы видели	2	1
112	дело идет об	1	1
