N	2gram	Bakhtin_Fr_7	KFilosof
1	может быть	4	43
2	в его	12	39
3	в нем	7	31
4	не может	3	27
5	и не	7	26
6	по отношению	2	25
7	и в	41	22
8	в себе	11	21
9	в котором	1	21
10	отношению к	2	21
11	не есть	2	19
12	и его	9	17
13	в ее	1	17
14	а не	2	17
15	только в	6	16
16	в этом	15	13
17	точки зрения	5	13
18	и это	5	12
19	но не	1	12
20	ни в	6	12
21	для него	6	12
22	все эти	13	11
23	в своей	3	11
24	не в	9	11
25	к нему	5	11
26	во всех	3	10
27	в едином	1	10
28	в своем	9	10
29	это не	6	10
30	с точки	3	10
31	все это	10	10
32	и есть	3	9
33	в их	3	9
34	его целом	2	9
35	но и	9	9
36	как бы	7	9
37	и для	5	9
38	и все	14	9
39	было бы	4	8
40	не было	3	8
41	жизни и	3	8
42	я должен	1	7
43	то что	8	7
44	во всем	1	7
45	должен быть	2	7
46	в себя	2	7
47	и здесь	4	7
48	что и	5	7
49	себя в	1	7
50	вовсе не	7	7
51	я не	3	6
52	момент в	4	6
53	менее всего	1	6
54	отношение к	2	6
55	мира в	4	6
56	он не	4	6
57	мир как	1	6
58	в мире	3	6
59	этот момент	1	6
60	уже не	2	6
61	и их	3	6
62	но это	3	6
63	в том	11	6
64	мы имеем	2	5
65	все же	1	5
66	но в	8	5
67	не только	5	5
68	то же	13	5
69	но все	4	5
70	его в	3	5
71	как и	14	5
72	должно быть	4	5
73	что я	1	5
74	но эта	1	5
75	не имеет	3	5
76	никогда не	2	5
77	ни одно	1	5
78	с ним	2	5
79	именно в	2	5
80	его как	2	5
81	в контексте	1	5
82	в основе	1	5
83	не знает	3	5
84	ко всему	1	5
85	я могу	1	5
86	как его	1	4
87	проникает в	3	4
88	и момент	2	4
89	себя а	1	4
90	быть в	1	4
91	в чем	2	4
92	это мир	1	4
93	при этом	3	4
94	время и	1	4
95	не как	1	4
96	нем как	1	4
97	места в	2	4
98	место в	4	4
99	тем самым	3	4
100	к ним	1	4
101	не по	1	4
102	о нем	3	4
103	в каком	1	4
104	с ними	3	4
105	и т.д	2	4
106	долженствования и	1	4
107	времени и	1	4
108	мира и	4	4
109	между тем	1	4
110	во всей	2	4
111	ни было	2	4
112	в одном	3	4
113	вне ее	1	4
114	том что	4	4
115	а в	5	4
116	что в	9	4
117	в своих	1	4
118	самом деле	1	3
119	на самом	2	3
120	этого мира	1	3
121	должна быть	1	3
122	мы не	2	3
123	что это	4	3
124	в ней	5	3
125	еще не	2	3
126	и на	4	3
127	а следовательно	2	3
128	себе и	1	3
129	и этим	1	3
130	теории и	1	3
131	прошлое и	1	3
132	в корне	1	3
133	в каждом	1	3
134	в другом	1	3
135	этом смысле	1	3
136	эти моменты	1	3
