N	2gram	Losev_Dial_4	Myshleni
1	в том	11	42
2	том что	10	35
3	в процессе	1	27
4	таким образом	5	25
5	в этом	11	24
6	точки зрения	14	24
7	в качестве	2	21
8	и в	15	20
9	что в	7	19
10	заключается в	2	18
11	в основе	10	17
12	то же	9	16
13	не только	8	15
14	то что	16	15
15	что они	4	14
16	как мы	1	13
17	в их	3	12
18	что ребенок	1	12
19	при этом	2	12
20	может быть	17	12
21	с другой	1	12
22	потому что	10	12
23	с точки	9	11
24	в его	4	11
25	так же	4	11
26	мы должны	4	11
27	и то	3	10
28	в истории	3	10
29	в себе	8	10
30	в отношении	2	10
31	того что	13	10
32	мы видим	4	10
33	только в	7	10
34	если мы	5	10
35	так как	14	10
36	и как	4	9
37	как и	7	9
38	мы могли	1	9
39	что и	6	9
40	тот же	1	9
41	с одной	1	9
42	как это	2	9
43	другой стороны	2	9
44	но и	4	9
45	и тем	6	8
46	было бы	9	8
47	этом смысле	4	8
48	тогда когда	5	8
49	и что	9	8
50	вместе с	2	8
51	и не	30	8
52	в результате	6	8
53	собственном смысле	2	7
54	и тот	1	7
55	в своей	3	7
56	и более	1	7
57	тем самым	3	7
58	могут быть	3	7
59	того чтобы	5	7
60	в собственном	3	7
61	тем что	2	7
62	а не	18	7
63	что мы	7	7
64	как бы	14	7
65	же как	1	6
66	в самом	2	6
67	той же	5	6
68	и на	5	6
69	одно и	1	6
70	те же	1	6
71	с тем	4	6
72	мы видели	1	6
73	одного и	1	6
74	можно было	1	6
75	в силу	4	6
76	его в	1	6
77	что он	7	6
78	уже в	1	6
79	и между	1	6
80	не может	11	6
81	и развития	1	6
82	сказать что	6	6
83	речь идет	1	5
84	мы имели	3	5
85	мы уже	3	5
86	как в	3	5
87	с этим	3	5
88	все же	2	5
89	перед нами	6	5
90	целый ряд	1	5
91	все эти	3	5
92	на то	5	5
93	одной и	3	5
94	это не	12	5
95	только не	3	5
96	и его	7	5
97	не является	1	5
98	никогда не	2	5
99	так и	5	5
100	если бы	6	5
101	о том	5	5
102	мы можем	3	5
103	для того	5	5
104	в частности	2	5
105	что такое	5	5
106	этот предмет	2	4
107	в сущности	5	4
108	первый план	1	4
109	в своем	5	4
110	показали что	1	4
111	в нашем	1	4
112	как он	1	4
113	как они	1	4
114	и с	4	4
115	нашего исследования	2	4
116	с этой	2	4
117	на первый	1	4
118	в первую	1	4
119	и при	2	4
120	по сравнению	2	4
121	и той	3	4
122	которые в	1	4
123	не в	8	4
124	что с	2	4
125	что оно	7	4
126	роль в	1	4
127	на том	1	4
128	и только	2	4
129	все время	1	4
130	только что	2	4
131	из них	2	4
132	во всей	2	4
133	в области	3	4
134	нами выше	1	4
135	в смысле	5	4
136	и для	5	4
137	что понятие	1	4
138	к этому	3	4
139	во всяком	2	4
140	этой точки	2	4
141	идет о	1	3
142	приходит к	1	3
143	в виду	9	3
144	в чем	8	3
145	себе и	2	3
146	отнюдь не	4	3
147	когда он	3	3
148	но в	3	3
149	в которой	2	3
150	это утверждение	2	3
151	то обстоятельство	1	3
