N	4gram	Vinokur_St_3	Formalny
1	в то же время	3	7
2	и т п в	1	2
3	и во всяком случае	1	2
4	и тем не менее	2	1
5	одних и тех же	1	1
6	с точки зрения своей	1	1
7	а потому что он	1	1
8	не потому что он	1	1
9	дело не в том	1	1
10	это связано с тем	2	1
11	с этой точки зрения	1	1
12	не в том что	1	1
13	одной и той же	1	1
14	это объясняется тем что	1	1
15	в одних и тех	1	1
16	связано с тем что	2	1
17	в одной из своих	1	1
18	все более и более	2	1
19	потому что он был	1	1
20	то же самое и	1	1
21	для того чтобы стать	1	1
22	говорит о том что	1	1
