N	3gram	Bakhtin_Fr_3	NovoeSre
1	в высшей степени	1	6
2	xix и xx	1	4
3	не может быть	2	4
4	подобно тому как	1	3
5	в средние века	1	3
6	и xx веков	1	3
7	что в нем	1	2
8	большую роль в	1	2
9	с другой стороны	1	2
10	но это есть	1	1
11	века и потому	1	1
12	и до сих	1	1
13	в том числе	3	1
14	играют большую роль	1	1
15	потому что не	1	1
16	до сих пор	4	1
17	и не может	1	1
18	в эпоху ренессанса	1	1
19	в эту эпоху	1	1
20	в отличие от	3	1
21	но и в	2	1
22	тому как в	1	1
23	том числе и	2	1
24	можно было бы	2	1
25	может быть только	1	1
26	к жизни и	1	1
27	в том чтобы	1	1
28	и на их	1	1
29	как будто бы	1	1
30	и особенно для	1	1
31	то что он	1	1
32	это конечно не	1	1
33	существенным моментом в	1	1
34	во всяком случае	1	1
35	к этой теме	2	1
36	и еще не	1	1
37	о том что	2	1
38	в значительной степени	2	1
39	но для этого	1	1
40	и вместе с	1	1
41	имея в виду	1	1
42	это и есть	1	1
43	не имеет никакой	1	1
44	в новое время	1	1
45	нового времени и	1	1
46	в том что	1	1
47	как и в	2	1
