N	2gram	Bakhtin_fo_1	Poddanst
1	не только	9	17
2	и в	50	14
3	и не	14	12
4	в этом	25	10
5	в отношении	3	10
6	в качестве	3	9
7	но в	10	9
8	то же	11	9
9	в том	9	9
10	в пределах	5	8
11	хотя бы	2	8
12	только в	4	7
13	в то	9	7
14	же время	9	7
15	в ней	4	6
16	было бы	2	6
17	но и	8	6
18	в которых	2	5
19	с другой	2	5
20	может быть	11	5
21	не в	5	5
22	если бы	5	4
23	тех кто	1	4
24	а также	2	4
25	в своем	4	4
26	и к	2	4
27	как бы	2	4
28	и политического	1	4
29	том что	4	4
30	не может	6	4
31	и потому	3	4
32	в котором	4	4
33	по себе	2	4
34	что в	5	4
35	мы должны	2	4
36	же в	3	4
37	а в	3	4
38	то что	6	4
39	и т	8	3
40	мы не	3	3
41	в порядке	3	3
42	это не	6	3
43	хотя и	3	3
44	и как	10	3
45	тот же	1	3
46	с ними	1	3
47	с одной	3	3
48	в себе	3	3
49	в нем	24	3
50	сами по	1	3
51	для того	5	3
52	прежде всего	15	3
53	одной стороны	2	3
54	с тем	3	3
55	что мы	2	3
56	с точки	2	3
57	но не	5	3
58	она есть	1	3
59	наряду с	5	3
60	могут быть	5	3
61	потому что	4	3
62	точки зрения	5	3
63	я и	1	3
64	и это	4	2
65	отношения к	3	2
66	например в	6	2
67	значительной мере	1	2
68	в ее	6	2
69	и есть	1	2
70	в мире	1	2
71	было в	1	2
72	есть не	3	2
73	по сравнению	2	2
74	одних и	2	2
75	но к	1	2
76	в xix	1	2
77	время в	6	2
78	в значительной	2	2
79	во всех	6	2
80	во всей	3	2
81	отнюдь не	5	2
82	в русском	1	2
83	с этим	6	2
84	пути в	1	2
85	того что	2	2
86	стороны и	2	2
87	есть в	2	2
88	и резко	1	2
89	в начале	3	2
90	главным образом	1	2
91	и других	3	2
92	в его	13	2
93	из них	1	2
94	где бы	1	2
95	не к	2	2
96	и вот	1	2
97	как раз	13	2
98	где в	1	2
99	именно как	4	2
100	и с	4	2
101	именно в	3	2
102	в жизни	6	2
103	для них	3	2
104	в них	4	2
105	не было	7	2
106	а не	3	2
107	в ряду	1	2
108	должно быть	1	2
109	в эту	1	2
110	жизнь которую	1	2
111	эта идея	1	2
112	не столько	1	2
113	друг другу	2	2
114	культуры в	1	2
115	что из	1	2
116	все это	4	2
117	между прочим	1	2
118	не о	2	2
119	одна из	2	2
120	слова но	1	2
121	да и	3	2
122	еще более	3	2
123	тем более	1	2
124	для нас	2	2
125	в частности	6	2
126	том числе	4	2
127	также и	2	1
128	же как	2	1
129	с другом	1	1
130	и через	1	1
131	связана с	1	1
132	применительно к	1	1
133	и то	4	1
134	тем и	1	1
135	века но	1	1
136	на основе	2	1
137	как по	2	1
138	нового не	1	1
139	тем же	1	1
140	в иных	1	1
141	и этим	1	1
142	в себя	1	1
143	по преимуществу	3	1
144	к жизни	2	1
145	те же	2	1
146	особенно в	1	1
147	по природе	2	1
148	и само	1	1
149	что дело	1	1
150	в эпоху	1	1
151	тем чем	1	1
152	находится в	1	1
153	не вполне	1	1
154	на себя	2	1
