N	3gram	Trubetskoy_1	Dialekti
1	по крайней мере	5	9
2	с точки зрения	6	8
3	не потому что	1	6
4	в том что	3	6
5	то или иное	2	4
6	в связи с	3	4
7	только то что	1	4
8	то же время	2	4
9	о том что	4	4
10	с другой стороны	1	4
11	только тогда когда	1	4
12	не может не	1	3
13	в самом деле	1	3
14	в таком случае	1	3
15	сами по себе	1	3
16	в то же	2	3
17	может быть и	2	3
18	не может быть	1	3
19	в то время	1	3
20	можно сказать что	2	3
21	может быть в	1	3
22	крайней мере в	1	2
23	иметь в виду	1	2
24	с первого взгляда	1	2
25	более или менее	5	2
26	до сих пор	5	2
27	с тех пор	2	2
28	в данном случае	1	2
29	тем не менее	3	2
30	или по крайней	1	2
31	так или иначе	3	2
32	во всяком случае	6	2
33	в широком смысле	1	2
34	с самого начала	2	2
35	то же самое	2	2
36	не должны быть	1	1
37	том есть ли	1	1
38	а потому что	1	1
39	и по мере	1	1
40	и в смысле	1	1
41	о том как	1	1
42	важно то что	1	1
43	из двух или	1	1
44	не отличаются от	1	1
45	и в то	1	1
46	жизни и только	1	1
47	то что эти	1	1
48	бы то ни	2	1
49	и далее в	1	1
50	в этом отношении	2	1
51	сама жизнь это	1	1
52	с тем чтобы	4	1
53	всякую мысль о	1	1
54	и даже чем	1	1
55	повседневной жизни и	1	1
56	точно так же	3	1
57	может быть даже	2	1
58	всех этих элементов	1	1
59	главным образом в	3	1
60	вместе с тем	8	1
61	себя что это	1	1
62	так же как	3	1
63	не в том	1	1
64	с одной стороны	7	1
65	в конце концов	3	1
66	но при этом	1	1
67	и в этом	2	1
68	одно из двух	1	1
69	и в этой	1	1
70	все же есть	1	1
71	чтобы она была	1	1
72	все более и	1	1
73	мы уже говорили	1	1
74	хотя бы например	1	1
75	есть ли это	1	1
76	сливаются в одно	1	1
77	смотря по тому	1	1
78	друг с другом	5	1
79	к искусству и	1	1
80	по сравнению с	2	1
81	то не только	1	1
82	сказать и о	1	1
83	все эти элементы	1	1
84	и вместе с	4	1
85	это и есть	1	1
86	нельзя сказать чтобы	1	1
87	все в мире	1	1
88	что и в	1	1
89	тем и другим	1	1
90	более и более	1	1
91	той или иной	2	1
92	речь идет о	1	1
93	но все же	4	1
94	несмотря на все	1	1
95	том что все	1	1
96	может и не	1	1
97	ничем не отличаются	1	1
98	она и при	1	1
99	такое положение дела	2	1
100	ни на какие	1	1
101	к тому же	4	1
102	на задний план	1	1
103	это уже давно	1	1
