N	3gram	Losev_Dial_2	Morfolog
1	и т д	15	47
2	в связи с	4	8
3	не может быть	3	8
4	подобно тому как	1	5
5	связи с этим	1	5
6	с точки зрения	8	4
7	тем не менее	2	4
8	с другой стороны	4	4
9	независимо от того	1	3
10	и пр и	1	3
11	на самом деле	1	3
12	не могут быть	2	3
13	но все же	1	3
14	с одной стороны	1	2
15	тем и другим	1	2
16	т д в	1	2
17	может быть и	3	2
18	в том что	6	2
19	на первый взгляд	1	2
20	в то время	3	2
21	в обоих случаях	1	2
22	более или менее	2	2
23	не значит что	3	2
24	точно так же	1	2
25	то время как	3	2
26	может существовать без	1	2
27	это не значит	2	2
28	с самого начала	2	1
29	во что бы	1	1
30	в таком случае	3	1
31	это значит что	8	1
32	в то же	3	1
33	о том как	1	1
34	это дает нам	1	1
35	бы то ни	1	1
36	друг с другом	1	1
37	она есть всегда	2	1
38	она не есть	2	1
39	д с другой	1	1
40	и более ярко	1	1
41	жизненных явлений и	1	1
42	во многих отношениях	1	1
43	т е он	1	1
44	дает нам возможность	1	1
45	можно сказать что	3	1
46	на этом основании	1	1
47	что бы то	1	1
48	но это не	2	1
49	можно на этом	1	1
50	то что они	1	1
51	потому что они	2	1
52	иметь в виду	2	1
53	дело не в	1	1
54	это нисколько не	1	1
55	к тому что	1	1
56	и независимо от	1	1
57	кроме того есть	1	1
58	то ни стало	1	1
59	бросается в глаза	1	1
60	того или другого	1	1
61	о том что	4	1
62	что несмотря на	1	1
63	и то же	4	1
64	том что он	1	1
65	не вызывает никаких	1	1
66	так же и	1	1
67	которые не могут	1	1
68	и может быть	3	1
69	а в другом	1	1
70	видим каков характер	1	1
71	то это значит	1	1
72	не что иное	3	1
73	т д все	1	1
74	в некоторых случаях	1	1
75	во всех частях	1	1
76	той или иной	1	1
77	которые могут быть	1	1
78	то же время	4	1
79	и вот мы	1	1
80	есть не что	2	1
81	в другом случае	1	1
82	т д с	1	1
83	что иное как	3	1
84	рук и ног	1	1
85	все более и	1	1
86	одно и то	4	1
87	во всяком случае	2	1
88	что и в	1	1
89	это было бы	1	1
90	в сказках и	1	1
91	в данном случае	2	1
92	более и более	1	1
93	не то что	1	1
94	до сих пор	2	1
95	ни в каких	1	1
96	и как будто	1	1
