N	3gram	Voloshinov_1	EvropaiC
1	в том что	3	16
2	до сих пор	8	12
3	по отношению к	2	10
4	друг с другом	1	9
5	с точки зрения	20	8
6	а между тем	1	7
7	на самом деле	1	7
8	более или менее	1	7
9	друг от друга	1	6
10	для того чтобы	3	6
11	в самом деле	9	5
12	в конце концов	3	4
13	с другой стороны	5	4
14	может быть и	3	4
15	совершенно так же	1	4
16	в этом случае	3	4
17	сих пор не	1	4
18	и без того	1	4
19	тем не менее	2	4
20	не может быть	13	4
21	так или иначе	1	3
22	так же как	2	3
23	в настоящее время	6	3
24	в целом ряде	1	3
25	и того же	5	3
26	таким образом в	1	3
27	одного и того	5	3
28	в связи с	7	3
29	никогда не будет	1	3
30	все же не	1	3
31	в то же	3	2
32	бы то ни	8	2
33	с одной стороны	1	2
34	же касается до	1	2
35	рано или поздно	1	2
36	то ни было	8	2
37	что же касается	1	2
38	ничего общего с	2	2
39	между этими двумя	2	2
40	но все же	3	2
41	без того уже	1	2
42	то же время	3	2
43	как и все	2	2
44	в нашем случае	1	2
45	во всяком случае	2	2
46	в свою очередь	2	2
47	том что он	1	2
48	и в сознании	1	1
49	а в том	1	1
50	в высшей степени	3	1
51	в данный момент	2	1
52	с самого начала	4	1
53	самом деле если	2	1
54	одной и той	2	1
55	лежит за пределами	1	1
56	в том числе	2	1
57	самом деле ведь	2	1
58	все же они	1	1
59	до тех пор	2	1
60	и для самого	1	1
61	во многих отношениях	1	1
62	а следовательно и	1	1
63	все это делает	1	1
64	так и от	1	1
65	не только не	1	1
66	нет ничего общего	1	1
67	как мы знаем	5	1
68	и в нем	1	1
69	таким образом и	1	1
70	теперь мы должны	2	1
71	иметь не может	1	1
72	в другом случае	1	1
73	что и для	1	1
74	при более внимательном	1	1
75	к тому что	1	1
76	между тем этот	1	1
77	независимо от того	1	1
78	между тем мы	1	1
79	то же самое	3	1
80	для этого необходимо	1	1
81	тот или иной	1	1
82	и не может	9	1
83	на каждом этапе	1	1
84	с этим на	1	1
85	для многих других	1	1
86	вместо того чтобы	1	1
87	и той же	2	1
88	но при этом	2	1
89	в широком смысле	1	1
90	вопрос мы должны	1	1
91	все остальное в	1	1
92	таким образом по	1	1
93	и более или	1	1
94	смысле этого слова	2	1
95	как мы видели	1	1
96	нет и не	2	1
97	в других областях	1	1
98	были бы в	1	1
99	том числе и	2	1
100	как бы ни	1	1
101	только мы дадим	1	1
102	в себе и	1	1
103	в тот же	1	1
104	мы уже знаем	1	1
105	а не в	1	1
106	является одним из	2	1
107	и только при	1	1
108	если мы возьмем	1	1
109	именно в том	1	1
110	и с точки	1	1
111	и в другом	1	1
112	что во всех	2	1
113	таким образом как	1	1
114	ее до сих	1	1
