N	2gram	Losev_Prob_5	Tvorches
1	и в	30	20
2	в году	5	16
3	в романе	1	15
4	и т	1	13
5	не только	18	13
6	т д	1	11
7	никогда не	7	11
8	как бы	6	11
9	таким образом	13	10
10	в его	12	10
11	в то	4	10
12	и не	12	9
13	и его	6	9
14	и с	5	8
15	прежде всего	6	8
16	при этом	4	8
17	в том	12	8
18	но и	13	8
19	в этом	17	8
20	может быть	7	8
21	же время	1	7
22	не может	5	7
23	xix века	1	7
24	потому что	13	7
25	что в	5	7
26	то же	2	7
27	это не	2	7
28	наряду с	2	7
29	представление о	2	7
30	как и	7	6
31	так и	7	6
32	в конце	8	6
33	в своей	22	6
34	у него	11	6
35	именно в	3	6
36	все это	1	6
37	а не	5	6
38	что он	7	6
39	но не	7	5
40	все же	9	5
41	еще не	3	5
42	так же	5	5
43	то есть	21	5
44	если он	2	5
45	и сам	4	5
46	и на	6	5
47	в этой	10	5
48	и даже	14	5
49	о том	12	5
50	но это	1	5
51	все эти	2	4
52	на его	2	4
53	что они	3	4
54	отнюдь не	4	4
55	не в	7	4
56	тем самым	1	4
57	мы не	2	4
58	об этом	4	4
59	а в	6	4
60	если не	4	4
61	хотя и	8	4
62	что она	1	4
63	как в	2	4
64	в дальнейшем	7	4
65	в душе	1	4
66	что у	5	4
67	в чем	2	4
68	и от	1	4
69	и потому	1	4
70	ничего не	2	4
71	но у	1	4
72	когда он	2	4
73	но в	9	4
74	в духе	3	4
75	том что	17	4
76	в себе	4	3
77	отношению к	2	3
78	любви к	2	3
79	рассказывает о	1	3
80	в рассказе	1	3
81	до сих	2	3
82	с большим	1	3
83	в нем	6	3
84	в их	1	3
85	его в	6	3
86	он сам	3	3
87	в образе	1	3
88	жизни в	4	3
89	одной из	1	3
90	вместе с	7	3
91	с ним	3	3
92	превращается в	1	3
93	с этой	2	3
94	но зато	1	3
95	в начале	3	3
96	в таком	2	3
97	между тем	2	3
98	человека и	4	3
99	что не	2	3
100	своего рода	1	3
101	в одной	2	3
102	и др	1	3
103	один из	2	3
104	он не	3	3
105	так например	1	3
106	тем что	2	3
107	уже не	6	3
108	то что	18	3
109	г а	1	3
110	в котором	2	3
111	сих пор	2	3
112	в самом	5	3
113	в античной	2	3
114	как у	1	3
115	в своих	1	3
116	по отношению	2	3
117	и это	1	3
118	к этому	2	3
119	по мнению	2	3
120	но уже	2	3
121	так как	6	3
122	а с	4	3
123	этот вопрос	1	3
124	это был	1	3
125	в которой	5	2
126	он страдал	1	2
127	наше время	1	2
128	что его	3	2
129	и наконец	1	2
130	в такой	1	2
131	это все	1	2
132	по словам	2	2
133	человеческой личности	1	2
134	в литературе	1	2
135	другой стороны	6	2
136	для которого	1	2
137	в этот	1	2
138	и ее	1	2
139	крайней мере	4	2
140	не было	1	2
141	не менее	5	2
142	во что	1	2
143	зависит от	1	2
144	вовсе не	8	2
145	из этой	1	2
146	в устах	1	2
147	в стороне	1	2
148	в виде	10	2
149	на землю	7	2
150	и вообще	9	2
151	не так	4	2
152	бы не	3	2
153	так что	11	2
154	и без	2	2
155	что я	1	2
156	и есть	1	2
157	ли не	2	2
158	или наконец	1	2
159	в одном	3	2
160	ночь у	1	2
161	тут же	6	2
162	в искусстве	1	2
163	же не	4	2
164	и только	2	2
165	в ее	3	2
166	из жизни	1	2
167	не выдерживает	1	2
168	во всяком	2	2
169	нет и	1	2
170	такой же	1	2
171	и других	1	2
172	что этот	5	2
173	на него	2	2
174	сердце и	1	2
175	героя и	1	2
176	все время	3	2
177	из этого	4	2
178	у нас	7	2
179	при виде	1	2
180	восходит к	1	2
181	таком случае	2	2
182	тому же	1	2
183	по причине	1	2
184	всякого рода	2	2
185	всяком случае	2	2
186	только в	9	2
187	не столько	1	2
188	едва ли	4	2
189	с полным	1	2
190	в силах	1	2
191	думается что	1	2
192	не могли	1	2
193	с ними	1	2
194	по крайней	4	2
195	могут быть	1	2
196	а я	1	2
197	и он	4	2
198	тоже не	2	2
199	и если	1	2
200	и что	6	2
201	xviii века	1	2
202	их в	1	2
203	не считать	1	2
204	в наше	1	2
205	при помощи	6	2
206	я не	2	2
207	с другой	6	2
208	а скорее	2	2
209	в частности	4	2
210	в первой	2	2
211	только для	2	2
212	и у	5	2
213	самом деле	2	2
214	этот факт	1	2
215	более всего	2	2
216	где нет	1	2
217	преступления и	2	2
218	в ту	1	2
219	то у	2	2
220	как о	4	2
221	это уже	2	2
222	уже в	2	2
223	всему миру	1	2
224	из них	2	2
225	сводится к	1	2
226	и тогда	2	2
227	в русской	3	2
228	в xix	1	2
229	и по	1	2
230	свои собственные	1	1
231	то мы	1	1
232	упоминаний о	1	1
233	меняется и	1	1
234	должен быть	1	1
235	главным образом	1	1
236	со своим	1	1
237	не содержится	4	1
238	которую она	1	1
239	нем и	1	1
240	и здесь	1	1
241	к действию	1	1
242	человек был	1	1
243	она не	1	1
244	ничего кроме	1	1
245	первым и	1	1
246	огромное значение	1	1
247	для нас	10	1
248	по выражению	1	1
249	и вот	1	1
250	и превращается	1	1
251	трагедии и	2	1
252	когда же	1	1
253	в другом	3	1
254	в связи	7	1
255	входит в	1	1
256	поэтому в	1	1
257	за что	4	1
258	же это	1	1
259	и а	1	1
260	необходимо сказать	4	1
261	мы и	2	1
262	к античной	1	1
263	но он	5	1
264	в противоположность	3	1
265	не все	2	1
266	каким его	1	1
267	только как	1	1
268	любовь к	1	1
269	действия в	1	1
270	обыкновенным человеком	2	1
271	его с	1	1
272	когда в	1	1
273	даже не	1	1
274	и для	6	1
275	для себя	5	1
276	нас не	3	1
277	в поэзии	1	1
278	о своем	2	1
279	представляет собою	2	1
280	с восхищением	1	1
281	страсть к	1	1
282	не к	2	1
283	для них	3	1
284	утверждает что	1	1
285	связи с	7	1
286	был бы	1	1
287	с ней	1	1
288	и их	5	1
289	души и	1	1
290	себя самого	2	1
291	пусть в	2	1
292	за это	5	1
293	к которым	1	1
294	числе и	1	1
295	на то	2	1
296	то он	1	1
297	и всякий	1	1
298	нет никаких	1	1
299	что всегда	1	1
300	образом как	2	1
301	в обществе	1	1
302	это для	1	1
303	в большинстве	1	1
304	то чтобы	1	1
305	человеческой души	1	1
306	люди его	1	1
307	за свою	1	1
308	смысле что	1	1
309	даже в	1	1
310	в драме	2	1
311	и до	2	1
312	этот образ	2	1
313	человек и	2	1
314	не вполне	1	1
315	и другие	3	1
316	к самой	1	1
317	страстей и	2	1
318	как это	1	1
319	древних греков	1	1
320	от него	1	1
321	в голову	1	1
322	что это	1	1
323	если в	1	1
324	после его	2	1
325	в целях	2	1
326	и человек	1	1
327	а только	1	1
328	по себе	2	1
329	таким же	1	1
330	о необходимости	1	1
331	зла и	2	1
332	ничего общего	1	1
333	спрашивается что	1	1
334	возрождается в	1	1
335	или великий	1	1
336	как его	1	1
337	то или	1	1
338	того или	1	1
339	говорил о	1	1
340	жизнь в	3	1
341	с такой	2	1
342	в xx	1	1
343	жизни или	1	1
344	античной мифологии	2	1
345	его к	1	1
346	только еще	3	1
347	как видно	1	1
348	или нет	1	1
349	поэтому он	1	1
350	но когда	1	1
351	искусство в	1	1
352	нуждается в	1	1
353	гёте и	2	1
354	не без	1	1
355	аргументов против	1	1
356	то этот	1	1
357	но только	3	1
358	и вполне	4	1
359	был за	1	1
360	или же	2	1
361	при всем	2	1
362	себе самом	1	1
363	отношение к	2	1
364	вплоть до	1	1
365	для искусства	1	1
366	которого не	2	1
367	от боли	2	1
368	противоречит тому	1	1
369	автор в	1	1
370	в таких	2	1
371	а мы	1	1
372	он ни	1	1
373	что никогда	1	1
374	дана в	1	1
375	на место	1	1
376	было то	1	1
377	к тому	2	1
378	в подобном	1	1
379	к ней	1	1
380	и имеет	1	1
381	еще более	3	1
382	нам представляется	1	1
383	что для	1	1
384	в диалоге	1	1
385	жизнь и	3	1
386	в середине	2	1
387	и о	5	1
388	для своих	1	1
389	у а	1	1
390	он против	1	1
391	прикасается к	1	1
392	хотелось бы	1	1
393	вот что	1	1
394	говорит ему	1	1
395	однако в	3	1
396	и к	4	1
397	после этого	1	1
398	не имеет	1	1
399	и гёте	1	1
400	его несовершенство	1	1
401	свой собственный	2	1
402	или вернее	3	1
403	трагедию в	1	1
404	мог бы	1	1
405	это сделать	1	1
406	нас к	1	1
407	как мы	2	1
408	в предисловии	1	1
409	из этих	1	1
410	или иное	1	1
411	это и	1	1
412	что если	1	1
413	людей при	1	1
414	в свою	2	1
415	этой трагедии	3	1
416	он с	1	1
417	поскольку он	1	1
418	вспомнить о	1	1
419	понимание этого	1	1
420	у этого	1	1
421	считал что	1	1
422	об этих	1	1
423	тот же	3	1
424	в городе	1	1
425	г в	1	1
426	на восходе	1	1
427	под псевдонимом	1	1
428	учения в	1	1
429	даже если	1	1
430	представляется что	1	1
431	в силу	5	1
