N	2gram	Tiupa_Vved_1	Myshleni
1	и в	13	28
2	в том	10	28
3	то что	6	28
4	в этом	21	27
5	того что	6	24
6	потому что	5	22
7	том что	7	19
8	не может	7	19
9	таким образом	4	18
10	что он	1	18
11	только в	6	18
12	в силу	2	17
13	что в	3	17
14	не только	20	16
15	так же	1	15
16	точки зрения	1	13
17	может быть	18	13
18	с помощью	1	13
19	сказать что	1	13
20	в сфере	1	12
21	в школе	1	12
22	тому что	1	11
23	и не	12	11
24	что мы	2	11
25	как бы	4	11
26	к другим	1	11
27	но не	5	10
28	по отношению	7	10
29	в отношении	1	10
30	того чтобы	1	10
31	к тому	6	10
32	как мы	3	10
33	но и	19	10
34	отношению к	7	10
35	могли бы	1	9
36	было бы	4	9
37	в процессе	1	9
38	мы можем	2	9
39	между собой	2	9
40	в самом	2	8
41	мы видели	2	8
42	тем самым	5	8
43	никогда не	4	8
44	тем что	2	8
45	еще не	7	8
46	как известно	1	7
47	того же	1	7
48	то же	5	7
49	в сущности	1	7
50	отношение к	2	7
51	в своем	5	7
52	он не	3	7
53	в нем	5	7
54	можно было	2	7
55	если бы	7	7
56	мы видим	1	7
57	вместе с	1	7
58	между ними	1	7
59	мы не	4	6
60	и к	2	6
61	как и	11	6
62	для него	3	6
63	не имеет	2	6
64	же самое	1	6
65	приводит к	2	6
66	так и	8	6
67	и что	1	6
68	можно сказать	4	6
69	так что	1	6
70	как раз	2	6
71	в области	3	6
72	вообще не	1	6
73	в то	4	6
74	том же	1	5
75	в зависимости	1	5
76	из того	1	5
77	зависимости от	1	5
78	и на	3	5
79	но в	6	5
80	то в	1	5
81	в этой	1	5
82	что все	1	5
83	и тем	2	5
84	с тем	1	5
85	того как	1	5
86	в разных	1	5
87	могут быть	4	5
88	в пределах	2	5
89	это не	6	5
90	иначе как	1	5
91	и все	4	5
92	например в	2	4
93	переход от	1	4
94	в первом	2	4
95	той же	1	4
96	мы имеем	5	4
97	мы и	2	4
98	в каждой	1	4
99	во всех	2	4
100	же самые	1	4
101	относится к	1	4
102	в одной	2	4
103	в той	4	4
104	целый ряд	2	4
105	в себе	5	4
106	в нашем	6	4
107	на то	1	4
108	на этом	1	4
109	не умеет	1	4
110	и того	2	4
111	одного и	1	4
112	но если	1	4
113	не в	6	4
114	сущности говоря	1	4
115	своей природе	2	4
116	в сознании	4	4
117	что на	2	4
118	оно не	1	4
119	самой своей	1	4
120	на основе	1	4
121	как по	2	4
122	что и	2	4
123	между этими	1	4
124	в качестве	8	4
125	только по	1	4
126	на этот	1	4
127	в частности	13	4
128	они не	1	4
129	начинается с	1	3
130	области научных	1	3
131	за собой	1	3
132	исследования в	1	3
133	оба эти	1	3
134	из этих	3	3
135	связи и	1	3
136	как в	4	3
137	хотя и	7	3
138	представляет собой	15	3
139	и сцепление	1	3
140	отношение между	1	3
141	его развития	1	3
142	в случае	2	3
143	на его	1	3
144	как оно	2	3
145	при этом	26	3
146	и по	3	3
147	с того	1	3
148	должен был	1	3
149	в них	2	3
150	иначе говоря	6	3
151	восприятия и	1	3
152	что такое	18	3
153	в их	1	3
154	всякий раз	1	3
155	по себе	2	3
156	до известной	1	3
157	в основе	3	3
158	как показывают	1	3
159	это мы	1	3
160	по своей	3	3
161	связи с	1	3
162	не по	1	3
163	этом отношении	4	3
164	опыта и	1	3
165	представляют собой	3	3
166	действия и	1	3
167	те же	2	3
168	к анализу	1	3
169	мог бы	1	3
170	по мере	1	3
171	и т.д	5	3
172	во втором	2	3
173	в его	4	3
174	и только	1	3
175	один из	3	3
176	это означает	1	3
177	и его	5	3
178	есть в	2	3
179	в нашей	1	3
180	до конца	3	3
181	представить себе	2	3
182	только к	1	3
183	связано с	3	3
184	и составляет	3	3
185	зависит от	2	3
186	а не	15	3
187	но как	1	3
188	на фоне	2	3
189	как это	1	3
190	для одного	1	3
191	в целом	3	3
192	в другой	1	3
193	бы в	3	3
194	мы должны	1	3
195	отношении к	1	3
196	в ходе	2	3
197	не знает	1	3
198	это на	1	3
199	первом случае	1	3
200	в своих	2	3
201	одним из	5	2
202	рассматривается как	1	2
203	увидим ниже	1	2
204	самом деле	3	2
205	он может	1	2
206	определенного рода	1	2
207	к новой	1	2
208	принадлежит к	3	2
209	вместо того	2	2
210	он сам	1	2
211	а только	1	2
212	к которой	1	2
213	что они	1	2
214	опирается на	1	2
215	прежде всего	7	2
216	не хватает	1	2
217	все же	6	2
218	рода в	1	2
219	и наконец	2	2
220	между двумя	3	2
221	понятия о	1	2
222	все эти	1	2
223	но на	2	2
224	ключ к	1	2
225	состоит в	10	2
226	к одному	1	2
227	непосредственно а	1	2
228	различие между	1	2
229	с другими	1	2
230	известно что	1	2
231	этом смысле	1	2
232	и произвольность	1	2
233	в высшей	2	2
234	несмотря на	1	2
235	в этих	3	2
236	в своей	5	2
237	которого является	1	2
238	в котором	8	2
239	в которых	1	2
240	что я	1	2
241	втором случае	1	2
242	но это	3	2
243	но он	1	2
244	и более	3	2
245	не менее	4	2
246	на котором	1	2
247	но только	1	2
248	не могло	2	2
249	он приобрел	1	2
250	имеем дело	3	2
251	каждой из	1	2
252	у нас	1	2
253	и от	2	2
254	в совершенно	1	2
255	как с	1	2
256	на том	1	2
257	не с	3	2
258	что у	1	2
259	к его	3	2
260	еще в	2	2
261	том как	3	2
262	с ним	3	2
263	мы всегда	1	2
264	внимание на	3	2
265	при котором	1	2
266	не умею	1	2
267	в значительной	1	2
268	представления о	1	2
269	но с	1	2
270	дело с	2	2
271	которое мы	1	2
272	из которого	1	2
273	если мы	1	2
274	только на	1	2
275	в новом	1	2
276	из них	1	2
277	в одном	1	2
278	в конце	1	2
279	у него	1	2
280	с другой	5	2
281	к которому	2	2
282	и др	1	2
283	иным в	1	2
284	которых мы	1	2
285	не на	1	2
286	в связи	1	2
287	по своему	2	2
288	в данном	13	2
289	в ряду	2	2
290	этом случае	1	2
291	все это	1	2
292	известной степени	1	2
293	к структуре	2	2
294	для нас	2	2
295	у них	1	2
296	интерес к	1	2
297	только что	1	2
298	именно поэтому	1	2
299	хотя в	1	2
300	а в	6	2
301	другой стороны	2	2
302	имеет место	4	2
303	из этого	1	2
304	оно совершается	1	2
305	и через	1	1
306	неизбежно должно	1	1
307	тех же	1	1
308	бы для	1	1
309	от своей	1	1
310	и до	1	1
311	едва ли	3	1
312	своего высказывания	1	1
313	которое может	1	1
314	и должен	1	1
315	этом направлении	1	1
316	взрослыми но	1	1
317	это решение	1	1
318	и само	1	1
319	нашу мысль	1	1
320	язык как	2	1
321	нам в	1	1
322	что иное	1	1
323	к началу	1	1
324	первого и	2	1
325	и он	1	1
326	со времен	1	1
327	свою очередь	4	1
328	и сами	2	1
329	как ему	1	1
330	иное как	1	1
331	на их	1	1
332	появляется и	1	1
333	на самом	4	1
334	точка зрения	3	1
335	ответ на	1	1
336	друг от	1	1
337	один и	1	1
338	нет как	1	1
339	которые не	1	1
340	отнюдь не	7	1
341	в центре	2	1
342	его на	1	1
343	стороны и	1	1
344	как к	1	1
345	перед нами	6	1
346	собственно и	1	1
347	в приведенном	2	1
348	и понимания	2	1
349	в образовании	1	1
350	и тот	1	1
351	тем же	1	1
352	имеет в	1	1
353	в этот	2	1
354	не можем	2	1
355	отношения с	1	1
356	как то	1	1
357	что это	1	1
358	в учебниках	1	1
359	применительно к	1	1
360	он в	1	1
361	с их	1	1
362	нам как	1	1
363	как он	2	1
364	а более	1	1
365	что она	1	1
366	но именно	1	1
367	именно то	1	1
368	в восприятии	1	1
369	и еще	1	1
370	мог оказаться	1	1
371	пределах одного	1	1
372	не как	2	1
373	факт который	1	1
374	новое и	1	1
375	наших глазах	1	1
376	определяется с	1	1
377	встречаются в	1	1
378	в нее	1	1
379	говоря в	1	1
380	что является	1	1
381	об этом	4	1
382	и с	2	1
383	или даже	1	1
384	на каком	1	1
385	входит в	1	1
386	речью и	1	1
