N	2gram	Savitsky_P_1	KulturaY
1	т е	3	38
2	и т	3	33
3	в том	9	30
4	и в	14	24
5	потому что	3	23
6	том что	4	21
7	что в	4	17
8	того чтобы	1	17
9	для того	3	16
10	было бы	6	15
11	и пр	5	15
12	в этом	10	14
13	т д	1	14
14	точки зрения	3	14
15	может быть	5	13
16	все же	1	12
17	и не	12	12
18	в его	2	12
19	не в	5	11
20	только в	7	11
21	хотя бы	8	10
22	в самом	1	10
23	не только	17	10
24	в силу	2	10
25	с точки	3	9
26	если бы	4	9
27	того что	2	9
28	прежде всего	3	9
29	то что	4	9
30	то же	9	8
31	как раз	2	8
32	а не	2	8
33	не может	4	7
34	это не	3	7
35	в них	2	7
36	не менее	2	7
37	в области	11	7
38	в качестве	9	7
39	с другой	5	7
40	как бы	4	7
41	вместе с	1	7
42	в ней	6	6
43	в которой	1	6
44	в которых	5	6
45	тогда когда	1	6
46	в какой	1	6
47	но и	6	6
48	именно в	2	6
49	все это	2	6
50	другой стороны	1	6
51	например в	2	5
52	еще не	1	5
53	xix века	6	5
54	но не	3	5
55	не просто	1	5
56	что это	1	5
57	и с	2	5
58	с тем	3	5
59	и что	1	5
60	между тем	3	5
61	всяком случае	1	5
62	что не	1	5
63	в результате	1	5
64	а в	4	5
65	во всяком	1	5
66	переход от	2	4
67	и на	1	4
68	с его	1	4
69	в рамках	1	4
70	из этих	1	4
71	на то	1	4
72	в нем	3	4
73	в данном	1	4
74	тем самым	3	4
75	иными словами	1	4
76	в русском	2	4
77	в пределах	8	4
78	что и	1	4
79	с ними	3	4
80	должен быть	1	4
81	есть в	2	4
82	не есть	1	4
83	из них	2	4
84	со стороны	2	4
85	там где	1	4
86	в частности	2	4
87	и потому	4	4
88	с этим	2	4
89	же в	4	4
90	в этих	1	4
91	так же	1	4
92	и то	1	3
93	в котором	4	3
94	на себя	1	3
95	так называемые	2	3
96	в общем	2	3
97	в истории	1	3
98	в своем	4	3
99	хотя и	3	3
100	более или	1	3
101	в этой	1	3
102	в себе	3	3
103	и если	4	3
104	должна быть	1	3
105	должно быть	2	3
106	нисколько не	1	3
107	или менее	1	3
108	в г	1	3
109	и эти	1	3
110	казалось бы	1	3
111	ли не	1	3
112	что оно	1	3
113	сводится к	3	3
114	не с	1	3
115	ясно что	1	3
116	для этого	1	3
117	условия в	1	3
118	и здесь	1	3
119	этом смысле	1	3
120	обе эти	1	3
121	культурного развития	1	3
122	уже в	1	3
123	не было	2	3
124	или иной	1	3
125	а с	1	3
126	к формам	1	3
127	как на	2	3
128	они не	1	3
129	гораздо более	1	3
130	можно говорить	1	2
131	также и	1	2
132	и есть	2	2
133	по преимуществу	1	2
134	что если	1	2
135	бы и	1	2
136	которое в	2	2
137	что его	1	2
138	не все	1	2
139	если в	2	2
140	в китай	1	2
141	могли бы	1	2
142	и как	3	2
143	но в	9	2
144	формы в	1	2
145	чуть ли	1	2
146	во многих	1	2
147	в каждом	1	2
148	заключается в	3	2
149	с основной	1	2
150	и мы	2	2
151	и тем	2	2
152	для них	2	2
153	как и	1	2
154	и еще	1	2
155	нужно было	2	2
156	и при	1	2
157	не столько	2	2
158	вопрос о	1	2
159	иначе как	1	2
160	что было	1	2
161	и более	1	2
162	по себе	4	2
163	что с	1	2
164	иной раз	1	2
165	в то	7	2
166	не имеет	1	2
167	чтобы в	1	2
168	и именно	1	2
169	никогда не	1	2
170	же время	7	2
171	слова но	2	2
172	но также	4	2
173	к жизни	1	2
174	если мы	1	2
175	что все	1	2
176	в собственном	1	2
177	идет речь	1	2
178	чтобы дать	1	2
179	было в	2	2
180	когда в	1	2
181	для самой	1	2
182	о котором	1	2
183	одно из	1	2
184	никак не	2	2
185	в современной	1	2
186	тот же	3	2
187	действие в	1	2
188	традиции в	1	2
189	в большинстве	1	2
190	были бы	1	2
191	в каком	1	2
192	только к	1	2
193	в это	1	2
194	в иных	1	2
195	между прочим	2	2
196	в смысле	6	2
197	случаях когда	1	2
198	для нас	2	2
199	тем более	2	2
200	я и	3	1
201	в сфере	2	1
202	же как	1	1
203	связана с	1	1
204	в периоды	1	1
205	смысл этого	1	1
206	на этих	2	1
207	собственном смысле	1	1
208	поэзии и	1	1
209	есть не	2	1
210	многих случаях	1	1
211	бы что	1	1
212	есть нечто	2	1
213	говорить о	2	1
214	к началу	2	1
215	в некотором	1	1
216	мы и	1	1
217	культурной традиции	1	1
218	в сочетании	2	1
219	ответа на	1	1
220	столь же	3	1
221	время в	2	1
222	в различных	1	1
223	теперь в	2	1
224	а м	1	1
225	учреждений и	1	1
226	глаза на	1	1
227	к ним	1	1
228	отличие от	1	1
229	она есть	3	1
230	не входят	1	1
231	государства и	1	1
232	поскольку они	1	1
233	как к	1	1
234	как начало	1	1
235	не нужно	2	1
236	помнить что	2	1
237	и где	1	1
238	вопросом о	1	1
239	и высоко	1	1
240	е с	6	1
241	поскольку мы	1	1
242	думать что	2	1
243	отчасти и	1	1
244	в известном	1	1
245	разрешения в	1	1
246	но на	1	1
247	в наших	1	1
248	и вот	2	1
249	наших глазах	1	1
250	и по	1	1
251	прежде чем	1	1
252	одно и	1	1
253	от нее	1	1
254	связанные с	1	1
255	на этой	1	1
256	и иных	1	1
257	в жизни	2	1
258	как проблема	1	1
259	далеко не	1	1
260	в действии	1	1
261	и уже	1	1
262	рассматривать с	1	1
263	в ходе	1	1
264	которую мы	2	1
265	и без	3	1
266	как факт	2	1
267	в отличие	1	1
268	мысли и	1	1
269	когда и	1	1
270	друг другу	2	1
271	в историческом	1	1
272	также что	1	1
273	должна в	1	1
274	в идеологическом	1	1
275	вопросу о	1	1
276	и притом	1	1
277	своего существования	1	1
278	и политическое	1	1
279	подошел к	2	1
280	та или	1	1
281	рассматривать как	1	1
282	недостаточно для	1	1
283	бы неправильно	1	1
284	одна из	2	1
285	находятся в	1	1
286	или иная	1	1
287	как она	1	1
288	более что	1	1
289	и теперь	1	1
290	можно рассматривать	1	1
291	может и	2	1
292	конечно и	1	1
293	относиться к	1	1
294	могут быть	3	1
295	в недрах	2	1
296	в наши	1	1
297	где он	1	1
298	из чего	1	1
299	в настоящее	1	1
300	в применении	1	1
301	средств в	1	1
302	в ее	2	1
303	на основе	1	1
304	совершенно ясно	1	1
305	только то	1	1
306	в себя	1	1
307	уяснить себе	1	1
308	за то	1	1
309	в борьбе	1	1
310	по сравнению	2	1
311	ними как	1	1
312	находится в	1	1
313	но несколько	1	1
314	тех кто	4	1
315	может сочетаться	1	1
316	настоящее время	1	1
317	два разных	1	1
318	а также	4	1
319	в которую	2	1
320	во всех	2	1
321	переходит в	1	1
322	и только	1	1
323	еще более	2	1
324	факты в	1	1
325	в развитии	1	1
326	которой в	1	1
327	связь между	1	1
328	и е	4	1
329	и свидетельство	1	1
330	как мир	2	1
331	бы часть	1	1
332	вопрос об	1	1
333	дает толчок	1	1
334	тот или	1	1
335	с одной	3	1
336	в эти	1	1
337	есть несколько	1	1
338	и действуют	1	1
339	в сопоставлении	2	1
340	каждый из	1	1
341	себя в	1	1
342	только на	1	1
343	в противоречии	1	1
344	тем чтобы	1	1
345	д не	1	1
346	большинстве случаев	1	1
347	этого процесса	1	1
348	и других	2	1
349	виде какой	1	1
350	связывается с	1	1
351	разрешить проблему	1	1
352	сами по	3	1
353	гораздо большей	4	1
354	мы можем	1	1
355	противоречии с	1	1
356	само по	1	1
357	в других	1	1
358	именно как	2	1
359	одной стороны	3	1
360	в н	1	1
361	и тех	1	1
362	было и	1	1
363	в природе	1	1
364	русской культуры	1	1
365	в россии	3	1
366	к более	1	1
367	к сожалению	1	1
368	весьма вероятно	2	1
369	к науке	1	1
370	отнюдь не	2	1
371	в одно	1	1
372	но как	1	1
373	нет ничего	1	1
374	эта идея	2	1
375	в европе	2	1
376	что именно	1	1
377	можно быть	1	1
378	наряду с	3	1
379	этой последней	1	1
380	применении к	1	1
381	чем к	1	1
382	и смысла	1	1
383	эта проблема	1	1
384	да и	2	1
385	из этой	1	1
386	образом на	2	1
387	н а	10	1
388	есть признак	1	1
389	многих других	1	1
390	к следующему	1	1
391	в переписке	1	1
392	время есть	1	1
393	его в	1	1
394	что мы	3	1
395	в условиях	1	1
396	в основном	1	1
397	и осмыслить	1	1
398	в начале	2	1
399	но для	1	1
400	к другим	1	1
401	только мы	1	1
402	г а	1	1
403	иной не	1	1
404	том виде	1	1
405	главным образом	2	1
406	только что	1	1
407	но будем	1	1
408	г и	2	1
409	давно уже	1	1
410	отношении к	5	1
411	поскольку не	1	1
412	получил у	1	1
413	только как	1	1
414	сопоставлении с	1	1
415	о духе	1	1
416	также в	1	1
417	непременно и	1	1
418	и русского	2	1
419	культуры в	2	1
420	есть и	1	1
421	об отношении	1	1
