N	3gram	Tiupa_Hudo_1	RusskieA
1	в том что	6	15
2	в xix в	1	10
3	и т д	3	9
4	состоит в том	1	8
5	том что в	2	6
6	в первый день	1	4
7	в связи с	3	4
8	о том что	9	4
9	к тому что	4	4
10	с точки зрения	3	3
11	тем не менее	3	3
12	в это время	1	2
13	и потому что	1	2
14	в равной степени	1	2
15	все же не	1	2
16	в свою очередь	1	2
17	не только на	1	2
18	но все же	1	2
19	так обстояло дело	1	2
20	потому что он	1	1
21	только потому что	2	1
22	и не случайно	1	1
23	по отношению к	8	1
24	на самом деле	1	1
25	по его словам	1	1
26	точки зрения в	1	1
27	же как и	1	1
28	в таком случае	1	1
29	и та же	1	1
30	на самом же	1	1
31	в себе и	1	1
32	в этом отношении	3	1
33	и т п	8	1
34	при этом не	1	1
35	можно было бы	4	1
36	в первой половине	2	1
37	тогда как в	1	1
38	подробнее об этом	2	1
39	как в тексте	1	1
40	не до конца	1	1
41	перекликаясь друг с	1	1
42	об этом так	1	1
43	не потому что	1	1
44	не только в	2	1
45	по своему происхождению	1	1
46	можно говорить об	1	1
47	объясняется тем что	1	1
48	имеет ничего общего	1	1
49	как будто бы	1	1
50	в отличие от	1	1
51	и в этом	1	1
52	не только для	1	1
53	во многих отношениях	1	1
54	приводит к тому	1	1
55	согласиться с а	1	1
56	во всяком случае	1	1
57	одна и та	1	1
58	еще не умели	1	1
59	самом же деле	1	1
60	не имеет ничего	1	1
61	мы уже знаем	2	1
62	где говорится что	1	1
63	не означает что	1	1
64	не только потому	1	1
65	ничего общего с	1	1
66	с тем что	1	1
67	легко заметить что	1	1
68	на то что	2	1
69	во второй половине	2	1
70	как это делалось	1	1
71	друг с другом	1	1
72	так и у	1	1
73	как и в	3	1
74	в данном случае	1	1
75	что она в	1	1
