N	2gram	Tiupa_Lite_3	SlovoVZh
1	социального взаимодействия	1	2
2	к его	1	2
3	а не	12	2
4	только на	1	1
5	у нас	2	1
6	слово есть	1	1
7	о ком	1	1
8	уже и	1	1
9	говорящего автора	1	1
10	всякое действительно	1	1
11	оно не	2	1
12	трех говорящего	1	1
13	действительно произнесенное	1	1
14	в процессе	1	1
15	в своей	7	1
16	как некая	1	1
17	о чем	3	1
18	может быть	12	1
19	отношению к	4	1
20	на самом	1	1
21	есть выражение	1	1
22	в том	12	1
23	продукт социального	1	1
24	в руках	1	1
25	по себе	2	1
26	ком или	1	1
27	говорят героя	1	1
28	и его	6	1
29	или осмысленно	1	1
30	не может	8	1
31	и умирает	1	1
32	и того	1	1
33	и делает	1	1
34	это уже	1	1
35	и более	1	1
36	себе как	1	1
37	выражение и	1	1
38	произнесенное или	1	1
39	к предмету	2	1
40	или о	1	1
41	но это	1	1
42	того о	1	1
43	все они	2	1
44	так и	9	1
45	и для	4	1
46	и продукт	1	1
47	взаимодействия трех	1	1
48	автора слушателя	1	1
49	читателя и	2	1
50	слушателя читателя	1	1
51	осмысленно написанное	1	1
52	по отношению	4	1
53	и к	3	1
54	от этой	1	1
55	чем говорят	1	1
56	как на	3	1
57	точки зрения	7	1
