N	2gram	Tiupa_Lite_3	slovoVRo
1	и в	16	41
2	в нем	2	30
3	и т	1	28
4	то есть	5	26
5	т п	1	23
6	в романе	3	21
7	во всех	2	17
8	не только	14	16
9	и не	22	16
10	точки зрения	7	16
11	но и	14	16
12	а не	12	15
13	то же	9	14
14	и на	2	14
15	в то	9	14
16	и его	6	14
17	может быть	12	14
18	не может	8	14
19	слова и	1	13
20	в его	6	13
21	в этом	14	12
22	до конца	4	12
23	же время	7	12
24	языка и	1	12
25	как бы	8	12
26	так и	9	11
27	в той	1	10
28	себя в	7	9
29	той или	2	9
30	или иной	2	9
31	как в	5	8
32	но в	3	8
33	на его	3	8
34	с точки	3	8
35	как мы	2	8
36	прежде всего	3	8
37	отношение к	2	7
38	все же	2	7
39	в слове	3	7
40	в своей	7	7
41	не в	10	7
42	вовсе не	1	7
43	на фоне	1	7
44	все они	2	7
45	того же	2	6
46	при этом	15	6
47	это не	5	6
48	в них	1	6
49	к своему	1	6
50	установка на	2	6
51	в отношении	1	6
52	слова как	1	6
53	оно не	2	6
54	только в	7	6
55	и даже	2	6
56	по своим	1	6
57	а в	5	6
58	отношении к	1	6
59	в каждый	1	5
60	и к	3	5
61	в самом	3	5
62	он в	2	5
63	так сказать	1	5
64	с другими	1	5
65	далеко не	2	5
66	все это	1	5
67	в основе	5	5
68	не на	1	5
69	и мир	1	5
70	к нему	1	5
71	слово как	1	5
72	с другой	6	5
73	еще более	1	5
74	каждый данный	1	5
75	романа и	2	5
76	одним из	4	4
77	по преимуществу	1	4
78	поэзии и	2	4
79	в ней	1	4
80	еще не	6	4
81	с его	6	4
82	в русле	1	4
83	за пределы	1	4
84	данный момент	1	4
85	перед нами	1	4
86	и наконец	3	4
87	не как	2	4
88	в каждом	1	4
89	и с	2	4
90	лишь в	5	4
91	входит в	4	4
92	как и	5	4
93	автора и	2	4
94	в их	1	4
95	к предмету	2	4
96	в процессе	1	4
97	и для	4	4
98	с ее	3	4
99	о нем	2	4
100	один из	2	4
101	с одной	4	4
102	одной стороны	4	4
103	и все	1	4
104	там где	3	4
105	и потому	2	4
106	и от	1	4
107	другой стороны	2	4
108	в первом	2	3
109	его же	1	3
110	данном случае	4	3
111	в своем	1	3
112	более или	1	3
113	бы и	3	3
114	в себе	6	3
115	в поэзии	5	3
116	вообще не	1	3
