N	3gram	Savitsky_P_1	Hudozhes
1	то же время	7	8
2	в то же	7	8
3	в том что	4	6
4	с точки зрения	3	3
5	и быть может	1	3
6	но в то	1	3
7	та или иная	1	3
8	и т д	1	3
9	том что в	1	2
10	не только в	4	2
11	не в том	1	2
12	не может быть	1	2
13	на наш взгляд	1	2
14	место в ряду	1	1
15	в этих двух	1	1
16	не ослабевает и	1	1
17	в этом смысле	1	1
18	одной стороны и	2	1
19	гораздо большей степени	4	1
20	и в этом	1	1
21	и в то	2	1
22	сами по себе	3	1
23	более или менее	1	1
24	в отличие от	1	1
25	в гораздо большей	4	1
26	заключает в себе	2	1
27	как она есть	1	1
28	в xix в	1	1
29	между тем в	1	1
30	во всяком случае	1	1
31	большей степени чем	1	1
32	мы должны в	1	1
33	но в этом	1	1
34	за то что	1	1
35	в русской культуре	1	1
36	на пути к	1	1
37	с одной стороны	3	1
38	друг с другом	1	1
39	он живет в	1	1
40	быть может и	1	1
