N	2gram	Tiupa_Narr_2	Morfolog
1	может быть	10	52
2	и т	2	49
3	таким образом	5	20
4	представляет собой	16	17
5	не может	8	17
6	в этих	1	16
7	и в	13	13
8	действующих лиц	3	13
9	в этом	13	13
10	перед нами	4	11
11	связи с	1	11
12	заметить что	1	10
13	представляют собой	2	10
14	то же	4	9
15	мы имеем	3	9
16	так и	9	9
17	не всегда	1	9
18	прежде всего	6	9
19	а не	17	9
20	в связи	1	9
21	и не	14	9
22	из дома	1	9
23	что и	2	8
24	с другой	5	8
25	в результате	2	8
26	вопрос о	1	7
27	в качестве	14	7
28	все же	6	7
29	но не	3	6
30	это не	3	6
31	во время	2	6
32	подобно тому	2	6
33	не могут	1	6
34	и здесь	2	6
35	а также	6	6
36	в форме	5	6
37	в том	14	6
38	а в	9	6
39	мы не	2	5
40	во всех	1	5
41	не все	2	5
42	тому как	2	5
43	то что	8	5
44	в ходе	1	5
45	далеко не	5	5
46	не менее	4	5
47	потому что	2	5
48	или в	1	5
49	этот момент	1	5
50	вслед за	6	5
51	один из	3	5
52	наряду с	1	5
53	как бы	6	5
54	также и	1	4
55	к началу	1	4
56	как в	5	4
57	хотя и	5	4
58	и как	1	4
59	не только	26	4
60	на этом	1	4
61	об этом	4	4
62	было бы	2	4
63	вовсе не	2	4
64	как и	4	4
65	несмотря на	2	4
66	точки зрения	5	4
67	с точки	2	4
68	тем не	5	4
69	на котором	1	4
70	ничего не	6	4
71	тем что	1	4
72	в других	2	4
73	как мы	1	4
74	его самого	1	4
75	видно что	2	4
76	по отношению	5	4
77	так же	2	4
78	отношению к	5	4
79	героя в	6	4
80	что в	4	4
81	начинается с	1	3
82	самом деле	3	3
83	на самом	2	3
84	и для	3	3
85	между собой	3	3
86	но в	6	3
87	в целом	3	3
88	к месту	1	3
89	в нашем	2	3
90	к герою	1	3
91	может существовать	1	3
92	и по	3	3
93	прежде чем	1	3
94	вопрос как	1	3
95	входит в	1	3
96	ни в	1	3
97	том что	13	3
98	о герое	3	3
99	в то	5	3
100	на него	5	3
101	того чтобы	3	3
102	с собой	1	3
103	если бы	4	3
104	с того	1	3
105	но и	15	3
106	он не	5	3
107	к нему	1	3
108	в какой	4	3
109	не происходит	2	3
110	в начале	2	3
111	а то	2	3
112	не является	4	3
113	что они	3	3
114	но это	2	3
115	мы должны	1	3
116	только что	2	3
117	же в	4	3
118	требует чтобы	1	3
119	героя и	2	3
120	в последнем	1	3
121	если же	1	3
122	можно назвать	2	3
123	как это	4	2
124	тем же	1	2
125	время как	1	2
126	а с	2	2
127	первый взгляд	1	2
128	если она	1	2
129	как уже	2	2
130	и к	6	2
131	более или	1	2
132	то в	1	2
133	как то	1	2
134	из его	1	2
135	состоит в	12	2
136	которое может	1	2
137	в нее	1	2
138	можно было	2	2
139	многих других	1	2
140	в другом	4	2
141	большинстве случаев	1	2
142	это было	1	2
143	обоих случаях	1	2
144	и иных	1	2
145	оно как	1	2
146	на первый	1	2
147	или менее	1	2
148	для него	4	2
149	за которым	2	2
150	и более	2	2
151	однако в	2	2
152	же может	1	2
153	все эти	3	2
154	всего следует	1	2
155	в обоих	2	2
156	не имеет	2	2
157	одна из	3	2
158	мальчик и	3	2
159	что ни	1	2
160	отправку в	1	2
161	и его	3	2
162	в каком	1	2
163	к себе	7	2
164	для того	1	2
165	оно не	2	2
166	здесь не	2	2
167	то время	1	2
168	и что	2	2
169	если они	1	2
170	из двенадцати	1	2
171	не с	1	2
172	ясно что	1	2
173	означает что	1	2
174	о том	5	2
175	с одной	5	2
176	можно сказать	6	2
177	может не	1	2
178	не означает	1	2
179	того что	6	2
180	герой в	1	2
181	быть и	1	2
182	хотя бы	2	2
183	к различным	1	2
184	этот вопрос	1	2
185	что он	5	2
186	только в	11	2
187	дочь и	1	2
188	лиц не	1	2
189	себя в	2	2
190	уже не	4	2
191	или на	1	2
192	в большинстве	1	2
