N	3gram	Vygotskiy__3	Formalny
1	с точки зрения	9	13
2	и т д	4	8
3	более или менее	1	6
4	на самом деле	2	6
5	до сих пор	5	6
6	в свою очередь	2	6
7	не может быть	1	5
8	с одной стороны	5	4
9	во всяком случае	2	4
10	и т п	5	4
11	в лучшем случае	2	3
12	по аналогии с	2	3
13	может быть и	1	3
14	смысле этого слова	2	3
15	а вовсе не	2	2
16	как и все	1	2
17	в зависимости от	1	2
18	как мы увидим	2	2
19	как если бы	3	2
20	в применении к	1	2
21	в том чтобы	1	2
22	дело идет о	1	2
23	и в этом	3	2
24	все более и	2	2
25	более и более	2	2
26	в целом ряде	1	2
27	того или иного	1	2
28	мы не можем	2	2
29	не только не	1	2
30	если бы оно	1	2
31	как мы видели	2	2
32	прав когда он	1	1
33	не можем не	2	1
34	состоит в том	1	1
35	как один из	1	1
36	как и всякое	1	1
37	и может быть	1	1
38	в том и	1	1
39	его в сторону	1	1
40	должен был бы	2	1
41	а не из	1	1
42	и во всех	2	1
43	в том что	11	1
44	в этом отношении	1	1
45	к тому чтобы	1	1
46	несмотря на их	1	1
47	согласиться с тем	1	1
48	с этой точки	1	1
49	так сказать в	1	1
50	вместе с тем	2	1
51	она должна быть	3	1
52	мы видим что	7	1
53	где она была	1	1
54	в данном случае	2	1
55	в ней как	1	1
56	в высшей степени	1	1
57	в отличие от	1	1
58	по сравнению с	1	1
59	все же в	2	1
60	и как бы	2	1
61	точном смысле этого	1	1
62	в точном смысле	1	1
63	с другой стороны	5	1
64	все то что	6	1
65	том и заключается	1	1
66	самом деле в	1	1
67	не могла не	1	1
68	этой точки зрения	1	1
69	в той же	1	1
70	и к ней	1	1
71	между этими двумя	1	1
72	идет о самом	1	1
73	и заключается что	1	1
74	каждого из этих	1	1
75	в своей основе	1	1
76	хотя бы в	1	1
77	с самого начала	6	1
78	автор все время	1	1
79	но все же	1	1
80	здесь нет и	1	1
81	и вступает в	1	1
82	в двух направлениях	1	1
83	заключается в том	6	1
84	совсем не так	1	1
85	каждой из них	1	1
86	нет у нас	1	1
87	к тому что	2	1
88	было дано в	1	1
89	здесь не оказывается	1	1
90	в предисловии к	1	1
91	на то чтобы	1	1
92	мы увидим что	7	1
93	не в этом	1	1
94	и здесь не	1	1
