N	3gram	Bakhtin_Fr_4	Istorich
1	с другой стороны	3	7
2	до сих пор	1	5
3	в том что	1	5
4	как мы видели	2	5
5	мы видим что	1	4
6	в данном случае	1	3
7	в связи с	1	3
8	мы видели как	2	3
9	мы видели что	1	3
10	в свете этих	1	2
11	и в других	2	2
12	что и в	1	2
13	таким образом и	3	2
14	с одной стороны	2	2
15	то время как	1	2
16	и то что	1	2
17	мы уже знаем	1	2
18	в то время	2	2
19	о том что	2	2
20	к тому же	1	2
21	уже знаем что	1	1
22	и на них	1	1
23	с полной ясностью	1	1
24	в дальнейшем в	1	1
25	между прочим и	1	1
26	подобно тому как	3	1
27	в том числе	3	1
28	в соответствии с	1	1
29	что у нее	1	1
30	с точки зрения	2	1
31	коня с другой	1	1
32	но и в	3	1
33	как мы увидим	1	1
34	на самом же	2	1
35	же как мы	1	1
36	большую роль в	1	1
37	образом и здесь	2	1
38	с тех пор	1	1
39	вследствие чего она	1	1
40	того что они	1	1
41	части человеческого тела	1	1
42	может быть и	1	1
43	видеть в этом	1	1
44	и что на	1	1
45	была у него	1	1
46	одной из них	1	1
47	не только в	2	1
48	мы находим и	1	1
49	смысле этого слова	1	1
50	но там где	2	1
51	мы увидим дальше	1	1
52	руки и ноги	3	1
53	все же не	1	1
54	мы уже говорили	5	1
55	соответствии с этим	1	1
56	данном случае в	1	1
57	они и не	1	1
58	в частности необходимо	1	1
59	непосредственной связи с	1	1
60	в свою очередь	1	1
61	это и есть	3	1
62	на самом деле	1	1
63	не может быть	1	1
64	с самого начала	3	1
65	но в его	1	1
66	они не только	1	1
67	можно сказать что	1	1
68	таким образом эта	1	1
69	и в самых	1	1
70	в большинстве случаев	5	1
71	ту же функцию	1	1
72	увидим дальше что	1	1
73	становится особенно ясным	1	1
74	самом же деле	2	1
75	в буквальном смысле	1	1
76	и все что	1	1
