N	3gram	Tiupa_Vved_1	PoTuStor
1	на самом деле	3	4
2	в этом смысле	1	3
3	по крайней мере	1	3
4	во всяком случае	1	3
5	не может быть	3	3
6	можно сказать что	1	3
7	друг на друга	1	2
8	по аналогии с	1	2
9	все то что	1	2
10	о том что	4	2
11	в конечном счете	1	2
12	и в этом	1	2
13	во всех его	1	2
14	если бы он	1	1
15	и того же	1	1
16	следует заметить что	1	1
17	всех без исключения	1	1
18	прежде всего на	1	1
19	подобно тому как	2	1
20	одного и того	1	1
21	то же самое	1	1
22	герой нашего времени	1	1
23	и та же	1	1
24	в этом отношении	4	1
25	можно было бы	2	1
26	а то и	2	1
27	именно то что	1	1
28	может быть только	1	1
29	разных местах и	1	1
30	можно ли признать	1	1
31	в данном случае	6	1
32	и т.п и	1	1
33	с одной стороны	5	1
34	в высшей степени	2	1
35	в связи с	1	1
36	и на наших	1	1
37	а с другой	2	1
38	имеем дело с	2	1
39	поры до времени	1	1
40	в этом и	1	1
41	а на самом	1	1
42	в том что	3	1
43	при некоторых условиях	1	1
44	мы не можем	1	1
45	на наших глазах	1	1
46	одна и та	1	1
47	прежде всего к	1	1
48	и прежде всего	1	1
49	что иное как	1	1
50	на этом пути	1	1
51	не что иное	1	1
52	и даже чисто	1	1
53	на первый взгляд	1	1
54	до поры до	1	1
55	обратим внимание на	1	1
56	той или иной	2	1
