N	3gram	Nazirov_Tr_1	Dialekti
1	тем не менее	1	10
2	не только не	1	7
3	не может быть	1	6
4	в самом деле	1	5
5	сам по себе	1	5
6	о том что	2	5
7	в том что	2	3
8	как и в	1	3
9	не только о	1	2
10	как и все	1	2
11	точно так же	2	2
12	и в этом	1	2
13	не могут быть	1	2
14	во всяком случае	1	2
15	это и есть	1	2
16	что это значит?	1	2
17	к тому что	1	2
18	в этом мире	1	1
19	вопрос об этом	1	1
20	вообще не имеет	1	1
21	я не хочу	1	1
22	в таком виде	1	1
23	и не может	1	1
24	как это часто	1	1
25	что он вообще	1	1
26	таком виде что	1	1
27	и в частности	2	1
28	это может быть	1	1
29	в применении к	1	1
30	в данном случае	2	1
31	а я люблю	1	1
32	и как бы	2	1
33	не в силах	2	1
34	мы отнюдь не	1	1
35	на них он	1	1
36	по вопросу об	1	1
37	то же время	5	1
38	что в ней	1	1
39	в одном из	1	1
40	в то же	5	1
41	в связи с	1	1
42	ни за что	1	1
43	это не просто	1	1
44	во всем его	1	1
