N	2gram	Tiupa_Anal_2	Problemy
1	и в	16	43
2	и не	12	29
3	т е	2	26
4	может быть	6	23
5	как бы	10	22
6	не может	4	18
7	в пределах	9	16
8	как и	14	14
9	но и	12	14
10	и т	1	13
11	в этом	18	13
12	точки зрения	4	13
13	в нем	1	12
14	в одном	2	12
15	слова в	1	12
16	слова и	1	12
17	не только	16	11
18	в каждом	1	11
19	не в	4	11
20	по себе	2	11
21	и на	6	10
22	но в	6	10
23	как мы	3	10
24	в его	2	10
25	прежде всего	3	10
26	в сущности	4	9
27	еще не	2	9
28	он не	2	9
29	голосов в	2	9
30	никогда не	3	9
31	то же	4	8
32	лишь в	9	8
33	для него	4	8
34	с точки	2	8
35	и его	4	8
36	с самим	3	8
37	или в	3	8
38	слово в	1	8
39	ведь и	2	7
40	перед нами	1	7
41	в самом	6	7
42	в то	2	7
43	и сам	3	7
44	в другом	1	7
45	а не	10	7
46	о себе	2	7
47	что же	1	7
48	к чужому	1	7
49	то что	7	7
50	и наконец	1	6
51	так сказать	1	6
52	при этом	10	6
53	к одному	1	6
54	не как	1	6
55	в этих	2	6
56	что я	1	6
57	приводит к	3	6
58	о нем	1	6
59	в том	12	6
60	в котором	2	6
61	у него	4	6
62	и все	3	6
63	самом деле	1	5
64	к другому	1	5
65	и он	2	5
66	чужих слов	1	5
67	но не	4	5
68	по отношению	4	5
69	хотя и	4	5
70	в себе	7	5
71	все эти	1	5
72	но ведь	1	5
73	на то	2	5
74	да и	1	5
75	таким образом	2	5
76	было бы	3	5
77	это слово	1	5
78	у меня	1	5
79	самим собою	1	5
80	в речи	3	5
81	о том	7	5
82	никак не	2	5
83	и что	1	5
84	же время	2	5
85	к нему	1	5
86	слов и	1	5
87	так что	3	5
88	вовсе не	2	5
89	все это	4	5
90	бы в	3	5
91	а в	3	5
92	на фоне	3	5
93	героя и	1	5
94	отношению к	4	5
95	и до	2	4
96	он ничего	1	4
97	а как	2	4
98	я не	1	4
99	с его	1	4
100	во всех	4	4
101	себе и	1	4
102	отличие от	2	4
103	сама по	1	4
104	в своем	4	4
105	знаю что	2	4
106	в произведении	2	4
107	если же	1	4
108	человека в	1	4
109	же не	2	4
110	в них	1	4
111	далеко не	1	4
112	в своей	2	4
113	в отличие	2	4
114	том же	1	4
115	как его	1	4
116	с другом	1	4
117	к тому	7	4
118	с собой	1	4
119	в словах	3	4
120	из одного	1	4
121	ли будет	1	4
122	этот вопрос	1	4
123	только в	4	4
124	же и	1	4
125	так как	1	4
126	как раз	4	4
127	с другой	6	4
128	с оглядкой	1	4
129	на этот	2	4
130	более того	1	4
131	то есть	9	4
132	друг с	1	4
133	но это	1	4
134	в результате	3	4
135	речи и	2	4
136	совершенно не	1	4
137	что в	2	4
138	также и	1	3
139	в приведенном	1	3
140	мы уже	1	3
141	той же	2	3
142	в виду	1	3
143	он был	2	3
144	за пределы	4	3
145	стороны и	1	3
146	в художественном	1	3
147	когда он	1	3
148	и к	5	3
149	более или	1	3
150	еще один	1	3
151	только на	3	3
152	тому же	4	3
153	никому не	1	3
154	я вам	1	3
155	самим собой	1	3
156	это не	1	3
157	эту минуту	1	3
158	в жизни	1	3
159	такой же	1	3
160	или менее	1	3
161	и их	2	3
162	в их	3	3
163	в диалоге	2	3
164	не должна	1	3
165	зрения и	1	3
166	даже в	2	3
167	в отношении	1	3
168	она не	2	3
169	на него	2	3
170	того и	2	3
171	ничего не	9	3
172	слова как	1	3
173	своего прямого	1	3
174	могут быть	10	3
175	той или	3	3
176	не менее	4	3
177	но при	1	3
178	он с	1	3
179	в себя	4	3
180	можно было	3	3
181	так и	15	3
182	если бы	3	3
183	и даже	9	3
184	с ним	2	3
185	и здесь	1	3
186	между тем	2	3
187	что и	3	3
188	здесь в	2	3
189	его в	2	3
190	тот же	1	3
191	том или	2	3
192	и ее	1	3
193	себя в	2	3
194	от автора	2	3
195	есть в	3	3
196	уже не	4	3
197	героя с	1	3
198	тем что	3	3
199	к самому	1	3
200	или иной	3	3
201	о своей	2	3
202	себя и	1	3
203	в рассказе	1	3
204	он и	2	3
205	по существу	2	3
206	и для	2	3
207	в эту	3	3
208	в романе	1	3
209	не знает	3	3
210	другой стороны	2	3
211	того же	4	3
212	же нам	1	2
213	я и	3	2
214	а между	1	2
215	отношения к	2	2
216	тем же	1	2
217	из его	2	2
218	словами в	1	2
219	себе как	1	2
220	и о	1	2
221	на себя	5	2
222	слова о	1	2
223	и сами	1	2
224	быть в	1	2
225	этих случаях	2	2
226	в сторону	5	2
227	как в	4	2
228	и как	1	2
229	его к	1	2
230	слова он	1	2
231	зрения как	1	2
232	в первом	1	2
233	бы и	1	2
234	в целом	8	2
235	момент его	2	2
236	бы не	1	2
237	из этих	1	2
238	с их	2	2
239	как он	1	2
240	но на	1	2
241	внутренней речи	4	2
242	одно и	1	2
243	а затем	2	2
244	сознания о	1	2
245	об этом	1	2
246	из них	3	2
247	входит в	1	2
248	ко второму	1	2
249	диалога в	1	2
250	лишь на	1	2
251	слова без	1	2
252	ни в	1	2
253	принадлежащих к	1	2
254	автора и	3	2
255	том что	12	2
256	и при	1	2
257	почти нет	1	2
258	затем и	1	2
259	ведь ты	2	2
260	в такой	1	2
261	стилизации и	1	2
262	но эта	2	2
263	что этот	1	2
264	и то	3	2
265	реплики и	1	2
266	а вот	1	2
267	раз и	1	2
268	от чужого	1	2
269	одна из	1	2
270	на себе	3	2
271	его речи	1	2
272	пути и	1	2
273	тем не	3	2
274	и является	4	2
275	самой этой	1	2
276	что на	3	2
277	есть у	1	2
278	у нас	1	2
279	отличается от	1	2
280	должны быть	1	2
281	указывает на	1	2
282	как человек	1	2
283	но к	1	2
284	для себя	1	2
285	в конце	4	2
286	особенно в	7	2
287	что может	1	2
288	в образе	1	2
289	времени и	1	2
290	даже из	1	2
291	произведения как	2	2
292	не был	3	2
293	все его	1	2
294	от них	1	2
295	автор как	1	2
296	ибо и	1	2
297	того что	2	2
298	этом смысле	2	2
299	оглядкой на	1	2
300	одного сознания	1	2
301	уже в	1	2
302	то и	1	2
303	в поэзии	2	2
304	же явления	1	2
305	не принимает	1	2
306	а то	2	2
307	его и	1	2
308	ведь это	2	2
309	это место	1	2
310	может служить	1	2
311	дело и	1	2
312	каждый из	1	2
313	уже и	2	2
314	на меня	1	2
315	и речь	1	2
316	другого и	2	2
317	с другим	1	2
318	нельзя сказать	1	2
319	превращается в	2	2
320	другой голос	1	2
321	они могут	1	2
322	так же	2	2
323	и особенно	4	2
324	столкновение с	1	2
325	в первой	3	2
326	этого слова	3	2
327	будет и	1	2
328	высказывания и	2	2
329	что ли?	1	2
330	так ли	1	2
331	для автора	1	2
332	себя на	1	2
333	человек и	1	2
334	для нас	1	2
335	бы он	1	2
336	в литературной	1	2
337	еще более	2	2
338	хотя бы	1	2
339	реагирует на	1	2
340	отношении к	1	2
341	не есть	2	2
342	с теми	1	2
343	с ними	3	2
344	сказать что	2	2
345	он ведь	1	2
346	была бы	2	2
347	речи как	1	2
348	ее в	1	2
349	который не	1	2
350	значение в	1	2
351	в таком	2	2
352	таком случае	2	1
353	художественного произведения	2	1
354	выражения в	1	1
355	не одного	1	1
356	так у	4	1
357	органическое единство	1	1
358	и должны	1	1
359	и сюжет	1	1
360	между двумя	4	1
361	проникает в	1	1
362	и больше	1	1
363	жизни здесь	1	1
364	их и	1	1
365	есть не	1	1
366	бы уже	1	1
367	случае это	1	1
368	из своих	2	1
369	героя нашего	3	1
370	именно к	1	1
371	словам того	1	1
372	ошибка и	1	1
373	и тем	4	1
374	ему в	3	1
375	конечно и	1	1
376	социальной группы	1	1
377	к их	1	1
378	от себя	1	1
379	служит для	1	1
380	в сюжете	1	1
381	слово представляется	1	1
382	тем как	1	1
383	это имеет	1	1
384	уж так	4	1
385	иного рода	2	1
386	установкой на	1	1
387	не своему	1	1
388	с одной	5	1
389	то он	1	1
390	в общем	2	1
391	прозы в	1	1
392	и диалога	1	1
393	на речь	1	1
394	и речи	1	1
395	и устойчивые	1	1
396	что автор	1	1
397	какие могут	1	1
398	идет о	1	1
399	его я	1	1
400	себя за	1	1
401	в рамках	3	1
402	во вне	1	1
403	однако не	1	1
404	себе не	2	1
405	о самом	1	1
406	к чужим	1	1
407	бы с	1	1
408	другого как	1	1
409	так или	1	1
410	в ответ	2	1
411	в нашем	3	1
412	которые в	1	1
413	в этой	9	1
