N	2gram	Tiupa_Narr_1	IolandNe
1	и с	3	3
2	должен быть	1	2
3	и не	23	2
4	в этом	12	2
5	он не	3	2
6	что в	3	2
7	ничего не	2	2
8	себя в	2	1
9	все это	1	1
10	автора и	1	1
11	нисколько не	1	1
12	и тот	1	1
13	все четыре	1	1
14	а для	3	1
15	и в	11	1
16	только что	2	1
17	и о	3	1
18	то и	1	1
19	них не	1	1
20	а по	2	1
21	стало быть	3	1
22	того же	1	1
23	жил в	1	1
24	не остается	1	1
25	при такой	2	1
26	и со	1	1
27	было не	1	1
28	с другой	2	1
29	и та	1	1
30	это было	2	1
31	а в	13	1
32	вплоть до	4	1
33	того что	4	1
34	о жизни	1	1
35	после смерти	2	1
36	своего исследования	1	1
37	все тех	1	1
38	а с	1	1
39	другой стороны	2	1
40	утверждает что	1	1
41	с героем	1	1
42	и еще	2	1
43	для него	4	1
44	а также	6	1
45	что для	1	1
46	в значительной	1	1
47	могло бы	3	1
48	как отец	1	1
49	и сам	1	1
50	видит в	1	1
51	отношению к	3	1
52	так и	5	1
53	произведения и	1	1
54	того чтобы	4	1
55	за границей	1	1
56	не случайно	1	1
57	никогда не	4	1
58	его личности	1	1
59	следующим образом	1	1
60	о ней	3	1
61	жизни и	6	1
62	тех же	1	1
63	тем что	1	1
64	в целом	3	1
65	по поводу	1	1
66	по отношению	3	1
67	со всеми	1	1
68	автор и	1	1
69	если бы	7	1
70	для того	3	1
71	не слишком	1	1
