N	4gram	Losev_Dial_3	VeschiIm
1	бы то ни было	1	9
2	не что иное как	6	8
3	т д и т	5	7
4	д и т д	5	7
5	и т д и	6	7
6	одно и то же	2	5
7	есть не что иное	3	5
8	в то же время	1	4
9	и в то же	1	3
10	это значит что мы	3	3
11	это значит что она	1	2
12	с этой точки зрения	2	2
13	что-нибудь или ничего не	1	2
14	то это значит что	3	2
15	от всего прочего и	2	2
16	или по крайней мере	1	1
17	и тем не менее	2	1
18	с одной стороны и	1	1
19	не может быть ни	1	1
20	вещь должна быть не	1	1
21	уж тем более не	1	1
22	и значит что мы	1	1
23	по себе отнюдь не	1	1
24	это значит что в	1	1
25	но что это значит?	1	1
26	если же оно –	1	1
27	взятая сама по себе	1	1
28	т е не есть	3	1
29	и т д таким	1	1
30	значит что в ней	1	1
31	это и значит что	1	1
32	явлению приходится брать на	1	1
33	мы уже сказали что	1	1
34	но что же такое	1	1
35	отличается от всего прочего	3	1
36	в то время как	4	1
37	приходится брать на себя	1	1
38	в себе не содержит	1	1
39	что существуют только явления	1	1
40	того что она есть	1	1
41	принципов и гипотез но	1	1
42	не имеет никакого отношения	1	1
43	никакого отношения ни к	1	1
44	только на то что	2	1
45	т д таким образом	1	1
46	на себя функции явления	1	1
47	и больше ничего то	1	1
48	должна быть не просто	1	1
49	в том смысле что	1	1
50	ни на что не	1	1
51	сами по себе совершенно	1	1
52	это не значит что	1	1
53	но это значит что	2	1
54	брать на себя функции	1	1
55	на себя функции сущности	2	1
56	что существует не только	1	1
57	этого мы ведь и	1	1
58	отличаться от всего прочего	1	1
59	и уж тем более	1	1
60	существуют только явления и	1	1
61	что с точки зрения	1	1
62	существует не только одно	1	1
63	когда мы говорим что	1	1
