N	3gram	Bakhtin_Fr_7	Sovremen
1	с точки зрения	3	5
2	с самого начала	1	3
3	во всяком случае	1	2
4	в свою очередь	3	2
5	не подлежит сомнению	1	2
6	то же самое	1	2
7	и может быть	1	1
8	что иное как	1	1
9	и в этом	1	1
10	и есть то	2	1
11	и все те	1	1
12	уже знаем что	1	1
13	а в конце	1	1
14	в связи с	1	1
15	дело в том	2	1
16	по отношению к	2	1
17	на самом деле	1	1
18	как и во	1	1
19	в этом смысле	1	1
20	в свое время	2	1
21	до наших дней	1	1
22	и благодаря этому	2	1
23	вместе с ним	1	1
24	то же время	9	1
25	со всеми ее	1	1
26	по аналогии с	1	1
27	есть не что	1	1
28	через все стадии	1	1
29	таким образом все	1	1
30	ведь это не	1	1
31	мы не знаем	1	1
32	можно было бы	2	1
33	все же в	1	1
34	и прежде всего	1	1
35	понимают все те	1	1
36	что в каждом	1	1
37	в то же	9	1
38	мы видим что	1	1
39	не что иное	1	1
40	как мы видим	3	1
41	со всеми его	1	1
42	мы уже знаем	1	1
43	в себе в	1	1
44	в том что	3	1
45	и во всей	1	1
46	в данном случае	1	1
47	на этот вопрос	1	1
48	на другой день	1	1
