N	2gram	Medvedev_I_1	Russkaja
1	и не	2	19
2	в этом	2	17
3	и в	1	14
4	того чтобы	1	8
5	и с	3	7
6	самого себя	2	7
7	если бы	1	6
8	все это	1	6
9	для того	1	6
10	для него	1	6
11	он не	2	5
12	никогда не	1	5
13	по существу	1	5
14	а в	1	5
15	себя в	1	4
16	жизни и	1	4
17	что в	2	4
18	говорить о	1	3
19	в значительной	1	3
20	того что	1	3
21	тем что	1	3
22	что для	1	3
23	по отношению	1	2
24	все эти	1	2
25	и тот	1	2
26	нисколько не	1	2
27	только для	1	2
28	и серьезно	1	2
29	и о	1	2
30	значительной мере	1	2
31	не так	1	2
32	а с	1	2
33	бы его	1	2
34	должен быть	2	1
35	личности для	1	1
36	того же	1	1
37	тех же	1	1
38	и ничего	1	1
39	придется не	1	1
40	очевидно что	1	1
41	от этого	1	1
42	за границей	1	1
43	то и	1	1
44	же это	1	1
45	а по	1	1
46	и задача	1	1
47	его личности	1	1
48	и без	1	1
49	стало быть	1	1
50	в основе	1	1
51	он с	1	1
52	бы все	1	1
53	было не	1	1
54	доказать что	1	1
55	данной личности	1	1
56	есть только	1	1
57	как только	1	1
58	что при	1	1
59	так и	1	1
60	с другой	1	1
61	у всех	1	1
62	а если	1	1
63	неудивительно что	1	1
64	могло бы	1	1
65	но когда	1	1
66	бы в	1	1
67	отношению к	1	1
