1	с точки зрения	8	15
2	в этом смысле	1	9
3	в том что	6	7
4	в то же	3	7
5	то же время	4	7
6	в этом отношении	1	5
7	в конце концов	1	4
8	том что он	1	4
9	на самом деле	1	3
10	сами по себе	3	3
11	и в то	1	3
12	в зависимости от	2	3
13	не может быть	3	3
14	друг с другом	1	3
15	но это не	2	3
16	бы то ни	1	3
17	подобно тому как	1	3
18	это и есть	1	3
19	во всяком случае	2	3
20	и в этом	1	3
21	и не может	1	2
22	с самого начала	2	2
23	что она не	1	2
24	до сих пор	2	2
25	которые были бы	1	2
26	потому что он	2	2
27	именно в том	1	2
28	по крайней мере	9	2
29	потому что она	5	2
30	как мы уже	1	2
31	это не значит	2	2
32	можно сказать что	3	2
33	в данном случае	2	2
34	в самом деле	3	2
35	в то время	3	2
36	само по себе	2	2
37	с другой стороны	4	2
38	что он есть	1	2
39	о том что	4	2
40	не потому что	6	2
41	только то что	4	2
42	заключается в том	1	2
43	и в частности	2	1
44	кроме того и	1	1
45	как будто бы	3	1
46	на первый взгляд	1	1
47	чтобы убедиться в	1	1
48	не только в	2	1
49	и даже не	1	1
50	как человек и	1	1
51	он не знал	1	1
52	по себе а	1	1
53	в братьях карамазовых	1	1
54	не могут быть	2	1
55	и то что	1	1
56	того или иного	1	1
57	самом деле это	1	1
58	по сравнению с	1	1
59	сразу и одновременно	1	1
60	что бы то	1	1
61	другой стороны эта	1	1
62	и как бы	1	1
63	своей последней основе	1	1
64	то и другое	1	1
65	то ни стало	1	1
66	и не только	5	1
67	том отношении что	1	1
68	может быть и	3	1
69	уже само по	1	1
70	и в нем	1	1
71	но все эти	1	1
72	же как и	1	1
73	да и не	1	1
74	в том отношении	1	1
75	в художественной форме	1	1
76	чужую душу как	1	1
77	как у достоевского	1	1
78	к тому что	1	1
79	том что все	1	1
80	отсюда следует что	1	1
81	по себе как	1	1
82	в своей последней	1	1
83	то время как	3	1
84	в нем и	2	1
85	она не может	1	1
86	то же самое	2	1
87	в том и	1	1
88	не в том	1	1
89	в каком плане	1	1
90	равно как и	1	1
91	существу с точки	1	1
92	точно так же	1	1
93	не только его	1	1
94	одном месте и	1	1
95	мы уже говорили	1	1
96	новые и новые	1	1
97	так же как	1	1
98	они вовсе не	1	1
99	что и в	1	1
100	во что бы	1	1
101	выйти за пределы	1	1
102	в один миг	1	1
103	пространства и времени	4	1
104	но все же	1	1
105	та или иная	2	1
106	должно быть раскрыто	1	1
107	того что в	1	1
108	не даны как	1	1
109	как бы только	1	1
110	и она имеет	1	1
111	и потому она	1	1
112	в себе и	1	1
113	может быть только	2	1
114	совершенно иной чем	1	1
115	в одном месте	1	1
116	в одно время	2	1
117	что в нем	2	1
118	на задний план	1	1
119	это не только	1	1
120	но потому что	3	1
121	все же не	1	1
122	и делает его	1	1
123	при этом условии	2	1
124	все новые и	1	1
