N	2gram	Medvedev_I_1	Myshleni
1	в этом	2	29
2	и в	1	26
3	того чтобы	1	19
4	для того	1	18
5	и не	2	18
6	для других	1	15
7	того что	1	14
8	что в	2	12
9	тем что	1	9
10	по отношению	1	6
11	все эти	1	6
12	в целом	1	5
13	и с	3	5
14	если бы	1	5
15	отношению к	1	5
16	бы в	1	5
17	только что	1	5
18	с другой	1	4
19	никогда не	1	4
20	то и	1	4
21	очевидно что	1	3
22	он не	2	3
23	так и	1	3
24	для него	1	3
25	на котором	1	3
26	в основе	1	3
27	я не	1	3
28	и о	1	3
29	все это	1	3
30	и ничего	1	2
31	гипотеза и	1	2
32	понятий и	1	2
33	от нее	1	2
34	а по	1	2
35	ничего не	2	2
36	есть только	1	2
37	что при	1	2
38	со всеми	1	2
39	бы все	1	2
40	что для	1	2
41	а в	1	2
42	того же	1	1
43	нам в	1	1
44	от этого	1	1
45	знать и	1	1
46	самого себя	2	1
47	и тот	1	1
48	в первую	1	1
49	это было	1	1
50	первую очередь	1	1
51	и без	1	1
52	доказательство того	1	1
53	было не	1	1
54	говорить о	1	1
55	другой стороны	1	1
56	при такой	1	1
57	с любым	1	1
58	причина того	1	1
59	не так	1	1
60	в них	1	1
61	а с	1	1
62	этом человеке	1	1
63	по существу	1	1
64	как только	1	1
65	только для	1	1
66	по поводу	1	1
