N	2gram	Tiupa_Hudo_1	Myshleni
1	внутренней речи	14	67
2	речи и	3	30
3	в этом	11	29
4	точки зрения	10	28
5	и в	19	26
6	речи для	1	25
7	для себя	2	24
8	не только	16	24
9	то что	4	24
10	таким образом	3	23
11	с точки	3	21
12	представляет собой	10	19
13	того чтобы	2	19
14	для того	2	18
15	в том	18	18
16	внешней речи	2	18
17	и не	15	18
18	том что	8	17
19	потому что	3	16
20	для других	1	15
21	как и	2	15
22	как мы	1	14
23	того что	4	14
24	так как	1	14
25	так же	2	14
26	этом случае	1	14
27	в ходе	5	12
28	и его	12	12
29	вместе с	1	12
30	что в	6	12
31	в которой	2	11
32	в слове	3	11
33	но и	10	11
34	не может	7	11
35	что они	1	10
36	слова и	2	10
37	по своей	7	10
38	в сущности	1	9
39	в самом	5	9
40	в себе	9	9
41	тому что	2	9
42	мышления и	1	9
43	тем что	1	9
44	по своему	2	9
45	же как	1	8
46	то же	10	8
47	той же	1	8
48	что она	2	8
49	что он	3	8
50	только в	5	8
51	ее в	2	8
52	сказать что	4	8
53	тем самым	4	8
54	и то	4	7
55	и к	3	7
56	к тому	4	7
57	может быть	14	7
58	прежде всего	4	7
59	речи с	1	7
60	речевой деятельности	1	6
61	во всех	3	6
62	по отношению	9	6
63	что это	1	6
64	все эти	2	6
65	было бы	1	6
66	и тем	2	6
67	в ее	5	6
68	нас к	1	6
69	от внешней	1	6
70	между собой	2	6
71	и что	3	6
72	заключается в	2	6
73	в какой	2	6
74	именно в	2	6
75	а не	9	6
76	как бы	9	6
77	речи как	1	6
78	все что	1	6
79	связи между	1	5
80	в целом	3	5
81	чем это	2	5
82	как говорит	3	5
83	могли бы	1	5
84	в силу	1	5
85	речи от	1	5
86	у нее	1	5
87	слова как	5	5
88	же самое	1	5
89	если бы	3	5
90	в виду	5	5
91	можно сказать	5	5
92	с одной	2	5
93	в качестве	24	5
94	если мы	2	5
95	одно из	2	5
96	себе в	1	5
97	слова в	2	5
98	одной стороны	2	5
99	речи а	2	5
100	как это	5	5
101	в данном	4	5
102	отношению к	9	5
103	с этой	1	5
104	и для	2	5
105	бы в	1	5
106	отношения между	1	4
107	едва ли	1	4
108	еще не	3	4
109	с другой	7	4
110	в нашем	2	4
111	если в	1	4
112	это и	1	4
113	как в	2	4
114	но в	7	4
115	отношение между	1	4
116	на то	1	4
117	в такой	1	4
118	в котором	1	4
119	не в	7	4
120	в той	3	4
121	не менее	3	4
122	не по	1	4
123	никогда не	2	4
124	своей природе	2	4
125	связи с	1	4
126	в области	6	4
127	в момент	2	4
128	не могут	1	4
129	не есть	1	4
130	имеет место	2	4
131	приводит к	5	4
132	о том	2	4
133	в его	9	4
134	одной из	2	4
135	по этому	1	4
136	так что	1	4
137	во внешней	1	4
138	в конце	1	4
139	о чем	2	4
140	речь в	1	4
141	и от	1	4
142	этой точки	1	4
143	между двумя	2	3
144	в первом	1	3
145	к другому	1	3
146	есть не	1	3
147	совпадает с	2	3
148	привести к	1	3
149	из того	1	3
150	в чем	2	3
151	но не	11	3
152	в этой	2	3
153	в одной	1	3
154	как к	2	3
155	самом начале	1	3
156	имеет в	1	3
157	из этих	3	3
158	он не	4	3
159	отношений между	1	3
160	содержит в	1	3
161	наших глазах	2	3
