N	3gram	Trubetskoy_1	RusskieA
1	в том что	7	15
2	состоит в том	1	8
3	вместе с тем	3	6
4	в этом случае	3	5
5	и в других	1	4
6	в связи с	1	4
7	о том что	2	4
8	к тому что	2	4
9	в настоящее время	2	3
10	с точки зрения	9	3
11	тем не менее	1	3
12	все это делалось	1	2
13	друг к другу	1	2
14	в свою очередь	1	2
15	но все же	1	2
16	в большинстве случаев	2	2
17	во многих случаях	1	2
18	чем ближе к	1	1
19	а следовательно и	2	1
20	связано с понятием	1	1
21	из всего этого	1	1
22	и того же	1	1
23	в противном случае	1	1
24	в китае и	1	1
25	по отношению к	1	1
26	точно так же	2	1
27	этого мало надо	1	1
28	на самом деле	6	1
29	всяком случае не	1	1
30	что для этого	1	1
31	точки зрения в	1	1
32	может быть назван	1	1
33	и не только	1	1
34	в истории россии	1	1
35	в себе и	2	1
36	в этом отношении	1	1
37	что не только	1	1
38	можно было бы	3	1
39	на этот вопрос	1	1
40	и в своем	1	1
41	в своих целях	1	1
42	как видно из	1	1
43	на том основании	1	1
44	и в этом	1	1
45	о том чтобы	2	1
46	во всех этих	1	1
47	и как бы	1	1
48	не только для	1	1
49	и на то	1	1
50	не только сам	1	1
51	во всяком случае	6	1
52	можно согласиться с	1	1
53	не может признать	1	1
54	необходимо иметь в	1	1
55	так же как	1	1
56	и в том	2	1
57	из всех этих	1	1
58	мы уже знаем	1	1
59	том основании что	1	1
60	так как это	1	1
61	вопрос о том	1	1
62	ни одна из	2	1
63	китае и в	1	1
64	несмотря на все	1	1
65	на то что	4	1
66	в этой роли	1	1
67	одного и того	1	1
68	совершенно очевидно что	1	1
69	у разных народов	1	1
70	друг с другом	14	1
71	быть не может	1	1
72	но даже если	1	1
73	потому что они	1	1
74	но совершенно очевидно	1	1
75	в совершенно ином	1	1
76	которую можно назвать	1	1
77	в данном случае	3	1
78	но этого мало	1	1
