N	4gram	Vinokur_Ku_3	Dialekti
1	в то же время	1	4
2	т д и т	1	2
3	не с точки зрения	1	2
4	и т д но	1	2
5	д и т д	1	2
6	и в то же	1	2
7	и т д и	1	2
8	и тем не менее	3	1
9	я имею в виду	2	1
10	в то или иное	1	1
11	лишь с точки зрения	2	1
12	можно сказать только то	1	1
13	беда в том что	1	1
14	не потому что он	1	1
15	то же время как	1	1
16	стать на точку зрения	2	1
17	одной и той же	1	1
18	ни в какой мере	2	1
19	если бы не было	1	1
20	что для того чтобы	1	1
21	по одному тому что	1	1
22	убеждение в том что	1	1
23	ни в коем случае	1	1
24	в какой мере не	2	1
25	никогда не может быть	1	1
26	уже по одному тому	1	1
27	когда мы говорим что	1	1
