N	2gram	Vygotskiy__3	VelikijI
1	и не	10	20
2	и в	38	16
3	так как	6	9
4	то что	35	9
5	еще не	1	8
6	в истории	2	8
7	что они	4	7
8	а не	7	7
9	и потому	1	7
10	не есть	1	6
11	на себя	1	5
12	но и	5	5
13	того что	4	5
14	хотя и	1	5
15	все это	3	5
16	как бы	14	5
17	и есть	1	4
18	в его	5	4
19	нет у	1	4
20	и я	2	4
21	мы хотим	3	4
22	в этом	13	4
23	что он	11	4
24	потому что	14	4
25	в нем	4	4
26	так и	1	4
27	что все	3	4
28	что не	3	4
29	как и	8	4
30	что мы	1	4
31	в котором	6	4
32	в ней	15	4
33	и все	10	4
34	это еще	1	4
35	они будут	1	4
36	все что	1	4
37	от этого	1	3
38	и что	18	3
39	должна быть	5	3
40	нас и	1	3
41	хотя бы	2	3
42	то это	2	3
43	как не	1	3
44	в чем	1	3
45	с его	1	3
46	во всех	4	3
47	что и	4	3
48	в том	25	3
49	тот же	3	3
50	но в	3	3
51	по этому	1	3
52	все эти	4	3
53	за ним	1	3
54	в конце	2	3
55	их в	2	3
56	тех которые	1	3
57	в своей	5	3
58	и мы	13	3
59	в жизни	1	3
60	не нужна	1	3
61	ни в	3	3
62	в них	3	3
63	не было	1	3
64	отвращение к	3	3
65	должно быть	1	3
66	если не	1	3
67	в этих	2	3
68	не в	12	3
69	к чему	6	3
70	тому что	6	3
71	этих трех	1	3
72	но это	3	3
73	не имеет	6	3
74	никогда не	4	3
75	превращается в	1	3
76	и для	4	3
77	к тому	6	3
78	жизни и	1	3
79	что в	20	3
80	а между	1	2
81	и это	8	2
82	того чтобы	9	2
83	и то	8	2
84	не имел	1	2
85	но мы	2	2
86	по которым	1	2
87	это мы	1	2
88	и т	14	2
89	можно было	1	2
90	мы не	5	2
91	когда в	4	2
92	в последнем	1	2
93	с ним	2	2
94	будет уже	1	2
95	под этим	2	2
96	и во	2	2
97	между тем	7	2
98	я думаю	1	2
99	нет и	1	2
100	вслед за	1	2
101	которые не	1	2
102	не с	1	2
103	материалом для	2	2
104	его к	2	2
105	только в	4	2
106	но идет	1	2
107	в себя	1	2
108	конечно не	4	2
109	уже не	2	2
110	не только	12	2
111	не так	3	2
112	для него	2	2
113	не к	3	2
114	не могли	4	2
115	тем что	3	2
116	мы слышим	2	2
117	не будет	1	2
118	так не	1	2
119	это не	1	2
120	т д	4	2
121	а с	2	2
122	для них	1	2
123	люди не	1	2
124	все равно	1	2
125	с тем	8	2
126	один из	6	2
127	и тогда	1	2
128	когда я	1	2
129	я говорю	3	2
130	не могут	2	2
131	которой они	1	2
132	значения и	1	2
133	над ними	1	2
134	с тобой	1	2
135	это дело	1	2
136	никогда еще	1	2
137	одна из	4	2
138	уже на	1	2
139	так много	1	2
140	том что	14	2
141	тот кто	1	2
142	для нас	8	2
143	от него	1	2
144	в форме	1	2
145	ее в	4	2
146	что теперь	1	2
147	это все	1	2
148	а в	7	2
149	но не	1	2
150	всего в	1	2
151	во всяком	2	2
152	всегда в	1	1
153	от этой	2	1
154	речь идет	4	1
155	как мы	7	1
156	спасение это	1	1
157	в виду	4	1
158	в сердце	1	1
159	в ее	7	1
160	отнять у	1	1
161	в словах	1	1
162	и говорит	1	1
163	и до	1	1
164	роль в	1	1
165	и самое	1	1
166	не имеют	2	1
167	значение в	1	1
168	и которую	1	1
169	мы будем	1	1
170	то же	10	1
171	их и	1	1
172	ли это?	1	1
