N	3gram	Bakhtin_Fr_7	VrazhdaK
1	то же время	9	4
2	в то же	9	4
3	в связи с	1	3
4	имел в виду	1	3
5	с точки зрения	3	2
6	но в то	3	2
7	в году в	1	2
8	в том что	3	2
9	а следовательно и	2	1
10	в июле года	1	1
11	году в париже	1	1
12	же время и	1	1
13	в этом смысле	1	1
14	в том же	1	1
15	тем более что	1	1
16	на первый план	1	1
17	в мировой литературе	1	1
18	а также в	1	1
19	в той же	1	1
20	в этом отношении	2	1
21	что в нем	1	1
22	все же в	1	1
23	вряд ли он	1	1
24	в другой раз	1	1
25	это не было	1	1
26	в это время	1	1
27	о том как	2	1
28	в конце концов	4	1
29	к этому образу	1	1
30	и в этом	1	1
31	чуть было не	1	1
32	был в то	1	1
33	и во всей	1	1
34	в период создания	1	1
35	во всяком случае	1	1
36	что у него	2	1
37	вот ее начало	1	1
38	у него в	1	1
39	в свою очередь	3	1
40	это и есть	1	1
41	о том что	1	1
42	и в самом	1	1
43	в ту эпоху	1	1
44	они как бы	1	1
