N	3gram	Losev_Prob_4	Russkaja
1	в то же	2	10
2	с точки зрения	11	9
3	в том что	8	7
4	на самом деле	3	6
5	во всяком случае	4	6
6	для того чтобы	2	6
7	до сих пор	1	5
8	более или менее	2	4
9	на то что	1	4
10	бы то ни	1	4
11	вместе с тем	3	3
12	можно было бы	4	3
13	и не может	1	3
14	и то что	1	3
15	в данном случае	5	3
16	в конце концов	1	3
17	той или иной	11	3
18	а следовательно и	1	2
19	точно так же	3	2
20	в настоящее время	1	2
21	только в том	3	2
22	что он не	1	2
23	в себе и	2	2
24	в значительной мере	2	2
25	и во всяком	3	2
26	и вместе с	1	2
27	того или иного	3	2
28	о том что	3	2
29	и тем самым	1	2
30	в другом случае	2	2
31	к тому что	1	2
32	сама по себе	2	2
33	должны были бы	1	1
34	в том виде	2	1
35	отнюдь не всякий	1	1
36	да и этот	1	1
37	том виде как	2	1
38	в силу этого	1	1
39	заключается не в	1	1
40	то есть не	3	1
41	прежде всего в	1	1
42	дело в том	1	1
43	в свою очередь	1	1
44	так же и	1	1
45	между прочим и	1	1
46	одной из этих	1	1
47	но даже и	4	1
48	в том числе	1	1
49	то же самое	6	1
50	ведь даже если	1	1
51	и в других	2	1
52	самом деле для	1	1
53	они в своем	1	1
54	только то что	1	1
55	что не только	1	1
56	совершенно ясно что	1	1
57	том числе и	1	1
58	за то что	1	1
59	тот или иной	2	1
60	по крайней мере	6	1
61	то и другое	3	1
62	есть то что	1	1
63	отнюдь не является	1	1
64	жизни и в	2	1
65	во всех областях	1	1
66	и в частности	2	1
67	не подлежит никакому	1	1
68	в том чтобы	2	1
69	он как будто	1	1
70	то ни было	1	1
71	подлежит никакому сомнению	1	1
72	и с точки	3	1
73	ни к какому	1	1
74	только в виде	2	1
75	и не признает	1	1
76	и как бы	1	1
77	всяком случае не	1	1
78	не только для	2	1
79	одной или нескольких	1	1
80	те или другие	1	1
81	по себе еще	1	1
82	в связи с	3	1
83	если бы все	1	1
84	также и то	1	1
85	мы говорили выше	1	1
86	от всякого другого	1	1
87	друг к другу	1	1
88	ничего подобного не	1	1
89	сих пор мы	1	1
90	о котором мы	1	1
91	так же как	1	1
92	на себе отпечаток	1	1
93	но можно ли	1	1
94	а в том	1	1
95	само собой разумеется	1	1
96	последнее время в	1	1
97	заключается в том	2	1
98	говорить о том	1	1
99	тех или иных	3	1
100	это и есть	1	1
101	случае не будет	1	1
102	но и для	1	1
103	с самого начала	1	1
104	вопрос о том	1	1
105	он верит в	1	1
106	но все же	1	1
107	несмотря на все	1	1
108	ведь вся эта	1	1
109	являются не просто	1	1
110	обусловливают друг друга	1	1
111	мы не знаем	1	1
112	так чтобы все	2	1
113	прежде всего с	1	1
114	тем не менее	10	1
115	и прежде всего	2	1
116	бы для него	1	1
117	нечего и говорить	1	1
118	на первый взгляд	1	1
119	к тому же	2	1
120	себе еще не	1	1
121	и только в	2	1
