N	3gram	Savitsky_P_1	Problema
1	с точки зрения	3	8
2	в том что	4	8
3	с другой стороны	1	5
4	с одной стороны	3	3
5	в этом смысле	1	3
6	и в частности	1	3
7	и то что	1	3
8	в настоящее время	1	3
9	в сравнении с	3	3
10	вместе с тем	1	3
11	в значительной мере	2	2
12	но и в	2	2
13	в том числе	2	2
14	для того чтобы	1	2
15	во всяком случае	1	2
16	не может быть	1	2
17	в настоящую минуту	1	1
18	с тем же	1	1
19	можно судить по	1	1
20	в то же	7	1
21	в большинстве случаев	1	1
22	но в то	1	1
23	и в этом	1	1
24	еще более резкую	1	1
25	насколько можно судить	1	1
26	и т д	1	1
27	к науке и	1	1
28	не только в	4	1
29	и вслед за	1	1
30	то же время	7	1
31	в xix в	1	1
32	именно на этой	1	1
33	том числе и	1	1
34	не только как	1	1
35	чуть ли не	1	1
